round,n-rock,n-paper,n-scissors,n-opp,n-mix
13800,57.0,94.0,83.0,98.0,168.0
13900,56.0,89.0,93.0,88.0,174.0
14000,59.0,88.0,97.0,88.0,168.0
14100,53.0,85.0,95.0,96.0,171.0
14200,57.0,82.0,100.0,85.0,176.0
14300,58.0,79.0,93.0,99.0,171.0
14400,63.0,60.0,112.0,97.0,168.0
14500,72.0,62.0,106.0,94.0,166.0
14600,73.0,61.0,103.0,89.0,174.0
14700,77.0,52.0,105.0,94.0,172.0
14800,89.0,51.0,102.0,96.0,162.0
14900,87.0,54.0,90.0,103.0,166.0
15000,99.0,53.0,86.0,93.0,169.0
15100,96.0,60.0,87.0,88.0,169.0
15200,96.0,64.0,72.0,107.0,161.0
15300,92.0,67.0,71.0,101.0,169.0
15400,101.0,71.0,76.0,93.0,159.0
15500,101.0,65.0,79.0,89.0,166.0
15600,103.0,75.0,59.0,92.0,171.0
15700,102.0,84.0,58.0,98.0,158.0
15800,105.0,86.0,55.0,98.0,156.0
15900,82.0,99.0,56.0,94.0,169.0
16000,86.0,97.0,54.0,92.0,171.0
16100,69.0,111.0,44.0,99.0,177.0
16200,67.0,101.0,53.0,98.0,181.0
16300,60.0,101.0,65.0,101.0,173.0
16400,47.0,116.0,68.0,96.0,173.0
16500,47.0,101.0,75.0,96.0,181.0
16600,51.0,94.0,83.0,98.0,174.0
16700,45.0,97.0,89.0,103.0,166.0
16800,44.0,91.0,89.0,105.0,171.0
16900,51.0,83.0,103.0,91.0,172.0
17000,53.0,82.0,105.0,98.0,162.0
17100,49.0,67.0,109.0,103.0,172.0
17200,58.0,65.0,109.0,99.0,169.0
17300,62.0,56.0,110.0,100.0,172.0
17400,73.0,56.0,97.0,97.0,177.0
17500,65.0,49.0,102.0,99.0,185.0
17600,74.0,51.0,99.0,90.0,186.0
17700,87.0,37.0,96.0,105.0,175.0
17800,88.0,34.0,99.0,98.0,181.0
17900,91.0,38.0,88.0,96.0,187.0
18000,90.0,34.0,82.0,109.0,185.0
18100,94.0,44.0,67.0,107.0,188.0
18200,102.0,38.0,75.0,104.0,181.0
18300,101.0,47.0,56.0,107.0,189.0
18400,102.0,59.0,48.0,100.0,191.0
18500,108.0,63.0,44.0,100.0,185.0
18600,102.0,62.0,46.0,108.0,182.0
18700,95.0,81.0,27.0,102.0,195.0
18800,89.0,90.0,31.0,105.0,185.0
18900,94.0,92.0,46.0,97.0,171.0
19000,82.0,94.0,38.0,105.0,181.0
19100,80.0,100.0,34.0,91.0,195.0
19200,72.0,112.0,42.0,97.0,177.0
19300,62.0,109.0,50.0,95.0,184.0
19400,61.0,108.0,53.0,98.0,180.0
19500,50.0,120.0,50.0,91.0,189.0
19600,43.0,115.0,57.0,99.0,186.0
19700,29.0,112.0,69.0,101.0,189.0
19800,37.0,106.0,70.0,103.0,184.0
19900,27.0,109.0,82.0,108.0,174.0
20000,32.0,104.0,88.0,90.0,186.0
20100,37.0,93.0,93.0,95.0,182.0
20200,32.0,81.0,95.0,93.0,199.0
20300,34.0,74.0,105.0,94.0,193.0
20400,39.0,61.0,112.0,100.0,188.0
20500,40.0,54.0,115.0,101.0,190.0
20600,48.0,46.0,116.0,105.0,185.0
20700,48.0,37.0,120.0,102.0,193.0
20800,54.0,32.0,120.0,94.0,200.0
20900,66.0,32.0,112.0,91.0,199.0
21000,66.0,28.0,112.0,94.0,200.0
21100,80.0,22.0,103.0,93.0,202.0
21200,86.0,31.0,94.0,92.0,197.0
21300,88.0,22.0,88.0,95.0,207.0
21400,98.0,25.0,76.0,90.0,211.0
21500,104.0,33.0,71.0,87.0,205.0
21600,108.0,32.0,66.0,76.0,218.0
21700,109.0,49.0,49.0,90.0,203.0
21800,117.0,42.0,40.0,81.0,220.0
21900,109.0,55.0,37.0,89.0,210.0
22000,110.0,55.0,28.0,97.0,210.0
22100,95.0,64.0,23.0,99.0,219.0
22200,102.0,79.0,16.0,81.0,222.0
22300,93.0,83.0,21.0,87.0,216.0
22400,92.0,91.0,22.0,83.0,212.0
22500,98.0,96.0,19.0,85.0,202.0
22600,80.0,94.0,26.0,83.0,217.0
22700,71.0,109.0,30.0,80.0,210.0
22800,64.0,106.0,25.0,89.0,216.0
22900,63.0,110.0,27.0,78.0,222.0
23000,40.0,110.0,43.0,92.0,215.0
23100,30.0,118.0,43.0,81.0,228.0
23200,25.0,114.0,57.0,90.0,214.0
23300,14.0,113.0,48.0,85.0,240.0
23400,15.0,117.0,60.0,86.0,222.0
23500,12.0,106.0,72.0,86.0,224.0
23600,16.0,99.0,74.0,81.0,230.0
23700,16.0,92.0,80.0,91.0,221.0
23800,18.0,98.0,76.0,78.0,230.0
23900,15.0,84.0,77.0,87.0,237.0
24000,19.0,82.0,89.0,94.0,216.0
24100,27.0,73.0,93.0,87.0,220.0
24200,33.0,52.0,109.0,77.0,229.0
24300,32.0,45.0,105.0,84.0,234.0
24400,40.0,39.0,114.0,87.0,220.0
24500,45.0,26.0,103.0,81.0,245.0
24600,50.0,29.0,109.0,81.0,231.0
24700,48.0,23.0,98.0,84.0,247.0
24800,54.0,21.0,104.0,83.0,238.0
24900,67.0,14.0,98.0,86.0,235.0
25000,68.0,21.0,94.0,77.0,240.0
25100,76.0,18.0,91.0,78.0,237.0
25200,67.0,12.0,98.0,77.0,246.0
25300,75.0,20.0,87.0,70.0,248.0
25400,85.0,15.0,75.0,78.0,247.0
25500,90.0,14.0,66.0,75.0,255.0
25600,96.0,22.0,53.0,75.0,254.0
25700,103.0,28.0,41.0,74.0,254.0
25800,101.0,30.0,34.0,90.0,245.0
25900,103.0,31.0,24.0,81.0,261.0
26000,94.0,43.0,17.0,85.0,261.0
26100,97.0,50.0,19.0,75.0,259.0
26200,99.0,47.0,17.0,84.0,253.0
26300,94.0,58.0,12.0,77.0,259.0
26400,93.0,64.0,15.0,86.0,242.0
26500,92.0,67.0,14.0,74.0,253.0
26600,78.0,70.0,18.0,83.0,251.0
26700,87.0,68.0,18.0,83.0,244.0
26800,79.0,74.0,23.0,72.0,252.0
26900,75.0,73.0,20.0,82.0,250.0
27000,55.0,76.0,20.0,84.0,265.0
27100,49.0,84.0,28.0,83.0,256.0
27200,43.0,85.0,29.0,85.0,258.0
27300,29.0,82.0,34.0,96.0,259.0
27400,30.0,84.0,34.0,93.0,259.0
27500,27.0,85.0,45.0,83.0,260.0
27600,27.0,85.0,41.0,86.0,261.0
27700,28.0,77.0,48.0,79.0,268.0
27800,27.0,79.0,50.0,95.0,249.0
27900,25.0,81.0,50.0,90.0,254.0
28000,17.0,82.0,57.0,89.0,255.0
28100,22.0,88.0,62.0,79.0,249.0
28200,25.0,80.0,55.0,83.0,257.0
