round,n-rock,n-paper,n-scissors,n-opp,n-mix
60400,38.0,48.0,38.0,99.0,277.0
60500,29.0,47.0,38.0,99.0,287.0
60600,34.0,47.0,44.0,107.0,268.0
60700,34.0,41.0,40.0,99.0,286.0
60800,27.0,43.0,48.0,103.0,279.0
60900,32.0,43.0,50.0,103.0,272.0
61000,34.0,42.0,45.0,103.0,276.0
61100,38.0,37.0,42.0,104.0,279.0
61200,40.0,35.0,47.0,106.0,272.0
61300,30.0,39.0,46.0,103.0,282.0
61400,37.0,29.0,43.0,108.0,283.0
61500,39.0,35.0,48.0,103.0,275.0
61600,37.0,24.0,49.0,108.0,282.0
61700,37.0,28.0,43.0,102.0,290.0
61800,44.0,23.0,48.0,95.0,290.0
61900,40.0,29.0,49.0,99.0,283.0
62000,44.0,28.0,49.0,97.0,282.0
62100,43.0,32.0,50.0,96.0,279.0
62200,44.0,31.0,45.0,91.0,289.0
62300,47.0,26.0,51.0,88.0,288.0
62400,42.0,30.0,46.0,97.0,285.0
62500,50.0,28.0,45.0,98.0,279.0
62600,49.0,27.0,42.0,94.0,288.0
62700,53.0,33.0,40.0,87.0,287.0
62800,53.0,40.0,29.0,97.0,281.0
62900,52.0,34.0,36.0,92.0,286.0
63000,50.0,34.0,35.0,102.0,279.0
63100,51.0,39.0,28.0,97.0,285.0
63200,55.0,45.0,31.0,86.0,283.0
63300,52.0,36.0,32.0,88.0,292.0
63400,55.0,40.0,29.0,94.0,282.0
63500,60.0,46.0,25.0,90.0,279.0
63600,51.0,35.0,29.0,90.0,295.0
63700,51.0,40.0,28.0,94.0,287.0
63800,60.0,42.0,26.0,88.0,284.0
63900,61.0,41.0,31.0,89.0,278.0
64000,45.0,49.0,31.0,88.0,287.0
64100,56.0,58.0,30.0,86.0,270.0
64200,49.0,54.0,31.0,89.0,277.0
64300,54.0,55.0,32.0,80.0,279.0
64400,44.0,59.0,30.0,85.0,282.0
64500,40.0,57.0,30.0,85.0,288.0
64600,40.0,68.0,31.0,84.0,277.0
64700,36.0,61.0,32.0,77.0,294.0
64800,37.0,61.0,40.0,76.0,286.0
64900,36.0,74.0,44.0,67.0,279.0
65000,42.0,69.0,43.0,75.0,271.0
65100,36.0,75.0,42.0,73.0,274.0
65200,29.0,71.0,41.0,70.0,289.0
65300,31.0,63.0,42.0,75.0,289.0
65400,31.0,66.0,47.0,72.0,284.0
65500,30.0,75.0,41.0,72.0,282.0
65600,29.0,63.0,52.0,74.0,282.0
65700,36.0,59.0,51.0,74.0,280.0
65800,31.0,61.0,52.0,75.0,281.0
65900,32.0,56.0,56.0,74.0,282.0
66000,30.0,52.0,52.0,79.0,287.0
66100,29.0,49.0,60.0,75.0,287.0
66200,36.0,53.0,58.0,75.0,278.0
66300,37.0,51.0,58.0,67.0,287.0
66400,36.0,44.0,66.0,66.0,288.0
66500,42.0,37.0,59.0,79.0,283.0
66600,44.0,39.0,63.0,84.0,270.0
66700,51.0,37.0,69.0,75.0,268.0
66800,47.0,41.0,69.0,71.0,272.0
66900,42.0,44.0,70.0,69.0,275.0
67000,47.0,37.0,69.0,72.0,275.0
67100,40.0,37.0,67.0,71.0,285.0
67200,48.0,37.0,64.0,75.0,276.0
67300,48.0,36.0,71.0,68.0,277.0
67400,48.0,32.0,62.0,77.0,281.0
67500,47.0,36.0,60.0,78.0,279.0
67600,57.0,30.0,58.0,80.0,275.0
67700,54.0,28.0,58.0,79.0,281.0
67800,57.0,34.0,69.0,75.0,265.0
67900,56.0,35.0,60.0,83.0,266.0
68000,52.0,35.0,49.0,83.0,281.0
68100,57.0,44.0,54.0,77.0,268.0
68200,57.0,44.0,50.0,80.0,269.0
68300,64.0,38.0,48.0,76.0,274.0
68400,61.0,51.0,38.0,69.0,281.0
68500,52.0,47.0,43.0,77.0,281.0
68600,61.0,44.0,49.0,68.0,278.0
68700,59.0,52.0,46.0,68.0,275.0
68800,60.0,42.0,52.0,70.0,276.0
68900,63.0,45.0,45.0,71.0,276.0
69000,66.0,49.0,42.0,63.0,280.0
69100,65.0,49.0,39.0,71.0,276.0
69200,60.0,53.0,44.0,74.0,269.0
69300,66.0,52.0,42.0,79.0,261.0
69400,68.0,44.0,37.0,75.0,276.0
69500,53.0,54.0,48.0,71.0,274.0
69600,56.0,59.0,42.0,75.0,268.0
69700,59.0,56.0,52.0,72.0,261.0
69800,57.0,54.0,38.0,88.0,263.0
69900,58.0,62.0,44.0,71.0,265.0
70000,61.0,56.0,39.0,76.0,268.0
70100,57.0,62.0,41.0,75.0,265.0
70200,53.0,61.0,43.0,73.0,270.0
70300,54.0,62.0,47.0,74.0,263.0
70400,46.0,65.0,43.0,72.0,274.0
70500,50.0,56.0,46.0,79.0,269.0
70600,47.0,55.0,47.0,72.0,279.0
70700,46.0,59.0,48.0,76.0,271.0
70800,44.0,54.0,52.0,77.0,273.0
70900,45.0,60.0,53.0,76.0,266.0
71000,37.0,59.0,49.0,84.0,271.0
71100,36.0,54.0,52.0,81.0,277.0
71200,35.0,52.0,54.0,77.0,282.0
71300,35.0,50.0,62.0,81.0,272.0
71400,36.0,52.0,53.0,78.0,281.0
71500,43.0,48.0,50.0,87.0,272.0
71600,41.0,44.0,50.0,72.0,293.0
71700,45.0,45.0,57.0,83.0,270.0
71800,42.0,45.0,53.0,77.0,283.0
71900,52.0,39.0,53.0,80.0,276.0
72000,46.0,44.0,60.0,81.0,269.0
72100,45.0,51.0,59.0,74.0,271.0
72200,46.0,41.0,62.0,81.0,270.0
72300,51.0,39.0,52.0,82.0,276.0
72400,46.0,40.0,66.0,78.0,270.0
72500,55.0,33.0,60.0,87.0,265.0
72600,53.0,35.0,52.0,83.0,277.0
72700,54.0,29.0,53.0,88.0,276.0
72800,46.0,42.0,58.0,82.0,272.0
72900,52.0,43.0,60.0,76.0,269.0
73000,55.0,44.0,52.0,77.0,272.0
73100,60.0,42.0,53.0,77.0,268.0
73200,59.0,44.0,50.0,77.0,270.0
73300,62.0,46.0,50.0,77.0,265.0
73400,60.0,44.0,45.0,70.0,281.0
73500,63.0,45.0,44.0,72.0,276.0
73600,63.0,47.0,51.0,73.0,266.0
73700,64.0,46.0,44.0,77.0,269.0
73800,65.0,49.0,44.0,76.0,266.0
73900,68.0,50.0,47.0,74.0,261.0
74000,65.0,52.0,41.0,75.0,267.0
74100,65.0,58.0,43.0,77.0,257.0
74200,66.0,59.0,35.0,74.0,266.0
74300,73.0,54.0,37.0,72.0,264.0
74400,66.0,63.0,35.0,74.0,262.0
74500,70.0,61.0,41.0,71.0,257.0
74600,66.0,61.0,35.0,67.0,271.0
74700,53.0,64.0,40.0,69.0,274.0
74800,54.0,63.0,50.0,71.0,262.0
74900,57.0,69.0,40.0,64.0,270.0
75000,50.0,65.0,43.0,70.0,272.0
75100,49.0,67.0,46.0,71.0,267.0
75200,47.0,64.0,41.0,73.0,275.0
75300,42.0,71.0,49.0,72.0,266.0
75400,31.0,74.0,51.0,64.0,280.0
75500,46.0,69.0,51.0,62.0,272.0
75600,43.0,71.0,51.0,67.0,268.0
75700,41.0,74.0,54.0,60.0,271.0
75800,43.0,69.0,56.0,66.0,266.0
75900,33.0,74.0,52.0,79.0,262.0
76000,41.0,76.0,55.0,70.0,258.0
76100,43.0,73.0,59.0,67.0,258.0
76200,29.0,68.0,65.0,70.0,268.0
76300,34.0,56.0,63.0,69.0,278.0
76400,42.0,58.0,61.0,66.0,273.0
76500,40.0,61.0,69.0,64.0,266.0
76600,41.0,54.0,64.0,62.0,279.0
76700,43.0,47.0,74.0,65.0,271.0
76800,38.0,45.0,69.0,70.0,278.0
76900,46.0,43.0,74.0,65.0,272.0
77000,41.0,38.0,82.0,71.0,268.0
77100,49.0,32.0,76.0,67.0,276.0
77200,46.0,41.0,78.0,64.0,271.0
77300,40.0,38.0,75.0,71.0,276.0
77400,53.0,33.0,72.0,63.0,279.0
77500,51.0,39.0,74.0,65.0,271.0
77600,55.0,31.0,73.0,69.0,272.0
77700,54.0,27.0,69.0,70.0,280.0
77800,59.0,35.0,64.0,64.0,278.0
77900,62.0,33.0,66.0,69.0,270.0
78000,77.0,29.0,63.0,66.0,265.0
78100,67.0,33.0,65.0,67.0,268.0
78200,67.0,30.0,69.0,63.0,271.0
78300,72.0,31.0,53.0,75.0,269.0
78400,69.0,30.0,52.0,68.0,281.0
78500,69.0,37.0,39.0,68.0,287.0
78600,72.0,38.0,44.0,72.0,274.0
78700,79.0,44.0,42.0,64.0,271.0
78800,73.0,43.0,41.0,68.0,275.0
78900,74.0,50.0,39.0,73.0,264.0
79000,80.0,37.0,38.0,79.0,266.0
79100,74.0,46.0,36.0,74.0,270.0
79200,75.0,52.0,33.0,77.0,263.0
79300,76.0,58.0,27.0,61.0,278.0
79400,76.0,57.0,27.0,74.0,266.0
79500,70.0,58.0,37.0,65.0,270.0
79600,66.0,60.0,39.0,70.0,265.0
79700,71.0,66.0,27.0,72.0,264.0
79800,62.0,69.0,34.0,68.0,267.0
79900,61.0,59.0,36.0,67.0,277.0
80000,55.0,66.0,39.0,72.0,268.0
80100,53.0,64.0,41.0,73.0,269.0
80200,64.0,67.0,41.0,73.0,255.0
80300,47.0,64.0,48.0,75.0,266.0
80400,47.0,68.0,41.0,77.0,267.0
80500,43.0,72.0,44.0,66.0,275.0
80600,46.0,71.0,47.0,80.0,256.0
80700,41.0,79.0,42.0,71.0,267.0
80800,39.0,78.0,49.0,66.0,268.0
80900,39.0,76.0,50.0,68.0,267.0
81000,25.0,79.0,59.0,75.0,262.0
81100,40.0,78.0,47.0,68.0,267.0
81200,44.0,74.0,53.0,67.0,262.0
81300,34.0,78.0,55.0,72.0,261.0
81400,29.0,75.0,63.0,78.0,255.0
81500,29.0,68.0,62.0,67.0,274.0
81600,34.0,73.0,63.0,71.0,259.0
81700,28.0,71.0,62.0,83.0,256.0
81800,34.0,72.0,65.0,64.0,265.0
81900,35.0,63.0,74.0,67.0,261.0
82000,37.0,61.0,77.0,74.0,251.0
82100,38.0,47.0,85.0,70.0,260.0
82200,39.0,49.0,82.0,64.0,266.0
82300,44.0,45.0,84.0,69.0,258.0
82400,48.0,39.0,78.0,66.0,269.0
82500,48.0,36.0,85.0,76.0,255.0
82600,50.0,40.0,87.0,76.0,247.0
82700,52.0,30.0,90.0,69.0,259.0
82800,47.0,36.0,75.0,72.0,270.0
82900,59.0,25.0,79.0,76.0,261.0
83000,58.0,30.0,80.0,68.0,264.0
83100,53.0,32.0,79.0,67.0,269.0
83200,66.0,23.0,75.0,69.0,267.0
83300,62.0,28.0,75.0,66.0,269.0
83400,63.0,28.0,70.0,75.0,264.0
83500,69.0,31.0,73.0,61.0,266.0
83600,69.0,27.0,67.0,72.0,265.0
83700,71.0,29.0,57.0,71.0,272.0
83800,78.0,28.0,45.0,73.0,276.0
83900,81.0,34.0,44.0,67.0,274.0
84000,87.0,37.0,32.0,66.0,278.0
84100,84.0,45.0,30.0,66.0,275.0
84200,84.0,49.0,27.0,71.0,269.0
84300,86.0,53.0,28.0,71.0,262.0
84400,83.0,54.0,16.0,65.0,282.0
84500,83.0,52.0,24.0,71.0,270.0
84600,83.0,57.0,15.0,69.0,276.0
84700,82.0,58.0,25.0,70.0,265.0
84800,77.0,69.0,18.0,70.0,266.0
84900,79.0,70.0,26.0,67.0,258.0
85000,81.0,59.0,27.0,73.0,260.0
85100,77.0,72.0,25.0,60.0,266.0
85200,70.0,83.0,29.0,65.0,253.0
85300,59.0,79.0,32.0,68.0,262.0
85400,50.0,90.0,33.0,59.0,268.0
85500,42.0,77.0,41.0,67.0,273.0
85600,39.0,79.0,41.0,62.0,279.0
85700,31.0,91.0,48.0,64.0,266.0
85800,30.0,91.0,48.0,56.0,275.0
85900,27.0,90.0,49.0,51.0,283.0
86000,27.0,93.0,54.0,55.0,271.0
86100,24.0,90.0,57.0,59.0,270.0
86200,15.0,83.0,59.0,59.0,284.0
86300,20.0,91.0,62.0,50.0,277.0
86400,25.0,88.0,61.0,55.0,271.0
86500,27.0,94.0,60.0,52.0,267.0
86600,22.0,90.0,61.0,51.0,276.0
86700,28.0,75.0,66.0,60.0,271.0
86800,24.0,72.0,67.0,59.0,278.0
86900,24.0,76.0,70.0,53.0,277.0
87000,34.0,61.0,81.0,52.0,272.0
87100,32.0,51.0,85.0,48.0,284.0
87200,35.0,40.0,84.0,59.0,282.0
87300,37.0,35.0,91.0,53.0,284.0
87400,40.0,33.0,87.0,52.0,288.0
87500,45.0,26.0,94.0,53.0,282.0
87600,39.0,29.0,85.0,53.0,294.0
87700,46.0,29.0,92.0,51.0,282.0
87800,44.0,25.0,88.0,48.0,295.0
87900,47.0,20.0,87.0,52.0,294.0
88000,53.0,21.0,96.0,47.0,283.0
88100,52.0,23.0,89.0,49.0,287.0
88200,57.0,21.0,89.0,43.0,290.0
88300,68.0,23.0,89.0,40.0,280.0
88400,69.0,19.0,77.0,41.0,294.0
88500,75.0,22.0,72.0,42.0,289.0
88600,75.0,24.0,67.0,43.0,291.0
88700,74.0,30.0,68.0,49.0,279.0
88800,88.0,33.0,47.0,46.0,286.0
88900,76.0,37.0,45.0,45.0,297.0
89000,76.0,40.0,35.0,53.0,296.0
89100,83.0,49.0,27.0,50.0,291.0
89200,82.0,55.0,26.0,49.0,288.0
89300,81.0,58.0,27.0,47.0,287.0
89400,86.0,62.0,25.0,40.0,287.0
89500,82.0,69.0,26.0,47.0,276.0
89600,84.0,60.0,22.0,49.0,285.0
89700,78.0,64.0,29.0,49.0,280.0
89800,77.0,68.0,30.0,45.0,280.0
89900,79.0,75.0,29.0,50.0,267.0
90000,70.0,73.0,35.0,46.0,276.0
90100,67.0,76.0,20.0,53.0,284.0
90200,61.0,84.0,25.0,50.0,280.0
90300,52.0,84.0,32.0,50.0,282.0
90400,40.0,88.0,35.0,53.0,284.0
90500,27.0,97.0,42.0,46.0,288.0
90600,34.0,100.0,43.0,47.0,276.0
90700,23.0,103.0,49.0,53.0,272.0
90800,27.0,90.0,51.0,52.0,280.0
90900,19.0,97.0,46.0,56.0,282.0
91000,20.0,87.0,54.0,55.0,284.0
91100,16.0,84.0,52.0,54.0,294.0
91200,15.0,90.0,58.0,58.0,279.0
91300,16.0,85.0,66.0,47.0,286.0
91400,17.0,85.0,69.0,52.0,277.0
91500,13.0,95.0,66.0,50.0,276.0
91600,28.0,76.0,63.0,51.0,282.0
91700,17.0,64.0,76.0,57.0,286.0
91800,16.0,50.0,78.0,60.0,296.0
91900,18.0,48.0,88.0,60.0,286.0
92000,26.0,31.0,78.0,62.0,303.0
92100,29.0,29.0,84.0,57.0,301.0
92200,35.0,19.0,92.0,57.0,297.0
92300,35.0,21.0,86.0,63.0,295.0
92400,41.0,15.0,84.0,65.0,295.0
92500,49.0,22.0,82.0,59.0,288.0
92600,42.0,15.0,86.0,53.0,304.0
92700,43.0,22.0,89.0,53.0,293.0
92800,45.0,15.0,93.0,52.0,295.0
92900,48.0,19.0,87.0,58.0,288.0
93000,48.0,15.0,82.0,58.0,297.0
93100,48.0,17.0,94.0,57.0,284.0
93200,52.0,20.0,91.0,59.0,278.0
93300,64.0,14.0,80.0,55.0,287.0
93400,67.0,14.0,70.0,58.0,291.0
93500,69.0,22.0,64.0,52.0,293.0
93600,77.0,20.0,55.0,58.0,290.0
93700,76.0,30.0,40.0,52.0,302.0
93800,85.0,33.0,30.0,59.0,293.0
93900,81.0,34.0,31.0,61.0,293.0
94000,91.0,40.0,21.0,60.0,288.0
94100,87.0,31.0,26.0,62.0,294.0
94200,78.0,45.0,18.0,66.0,293.0
94300,87.0,42.0,19.0,57.0,295.0
94400,85.0,50.0,16.0,65.0,284.0
94500,77.0,55.0,13.0,61.0,294.0
94600,76.0,54.0,18.0,65.0,287.0
94700,81.0,53.0,18.0,59.0,289.0
94800,83.0,57.0,17.0,60.0,283.0
94900,77.0,55.0,22.0,62.0,284.0
95000,73.0,63.0,18.0,67.0,279.0
95100,59.0,68.0,16.0,65.0,292.0
95200,57.0,70.0,20.0,70.0,283.0
95300,51.0,72.0,24.0,65.0,288.0
95400,43.0,74.0,38.0,66.0,279.0
95500,31.0,72.0,30.0,65.0,302.0
95600,25.0,80.0,28.0,62.0,305.0
95700,30.0,73.0,35.0,59.0,303.0
95800,27.0,82.0,35.0,62.0,294.0
95900,29.0,76.0,43.0,58.0,294.0
96000,22.0,76.0,44.0,54.0,304.0
96100,27.0,76.0,44.0,59.0,294.0
96200,16.0,73.0,48.0,60.0,303.0
96300,24.0,74.0,48.0,52.0,302.0
96400,18.0,79.0,55.0,57.0,291.0
96500,24.0,77.0,54.0,52.0,293.0
96600,17.0,80.0,51.0,53.0,299.0
96700,18.0,70.0,63.0,55.0,294.0
96800,25.0,66.0,58.0,55.0,296.0
96900,30.0,63.0,64.0,49.0,294.0
97000,27.0,53.0,73.0,42.0,305.0
97100,19.0,56.0,72.0,51.0,302.0
97200,23.0,42.0,76.0,49.0,310.0
97300,32.0,43.0,76.0,51.0,298.0
97400,21.0,42.0,82.0,54.0,301.0
97500,24.0,27.0,84.0,61.0,304.0
97600,36.0,31.0,88.0,49.0,296.0
97700,31.0,22.0,79.0,49.0,319.0
97800,36.0,25.0,80.0,50.0,309.0
97900,33.0,20.0,91.0,53.0,303.0
98000,35.0,14.0,82.0,53.0,316.0
98100,38.0,20.0,74.0,46.0,322.0
98200,44.0,15.0,88.0,52.0,301.0
98300,44.0,18.0,91.0,45.0,302.0
98400,44.0,20.0,79.0,48.0,309.0
98500,51.0,20.0,91.0,48.0,290.0
98600,52.0,18.0,78.0,49.0,303.0
98700,54.0,24.0,81.0,50.0,291.0
98800,58.0,23.0,78.0,60.0,281.0
98900,71.0,18.0,66.0,55.0,290.0
99000,64.0,21.0,50.0,63.0,302.0
99100,73.0,32.0,39.0,61.0,295.0
99200,75.0,24.0,35.0,67.0,299.0
99300,73.0,23.0,34.0,59.0,311.0
99400,73.0,34.0,28.0,57.0,308.0
99500,76.0,32.0,30.0,57.0,305.0
99600,80.0,33.0,30.0,57.0,300.0
99700,77.0,39.0,20.0,58.0,306.0
99800,89.0,35.0,21.0,57.0,298.0
99900,82.0,39.0,21.0,62.0,296.0
100000,78.0,42.0,19.0,64.0,297.0
100100,93.0,42.0,20.0,57.0,288.0
100200,84.0,43.0,14.0,61.0,298.0
100300,80.0,43.0,22.0,59.0,296.0
100400,84.0,45.0,18.0,59.0,294.0
100500,80.0,49.0,15.0,50.0,306.0
100600,74.0,56.0,14.0,59.0,297.0
100700,69.0,57.0,18.0,61.0,295.0
100800,56.0,61.0,22.0,57.0,304.0
100900,55.0,62.0,19.0,60.0,304.0
101000,46.0,63.0,23.0,66.0,302.0
101100,51.0,66.0,24.0,63.0,296.0
101200,41.0,69.0,21.0,65.0,304.0
101300,42.0,75.0,24.0,69.0,290.0
101400,40.0,68.0,35.0,60.0,297.0
101500,33.0,75.0,36.0,60.0,296.0
101600,29.0,72.0,33.0,55.0,311.0
101700,34.0,69.0,38.0,60.0,299.0
101800,37.0,67.0,40.0,67.0,289.0
101900,25.0,76.0,40.0,64.0,295.0
102000,23.0,72.0,43.0,57.0,305.0
102100,27.0,79.0,49.0,61.0,284.0
102200,22.0,77.0,48.0,54.0,299.0
102300,21.0,70.0,60.0,53.0,296.0
102400,20.0,66.0,64.0,56.0,294.0
102500,24.0,65.0,49.0,57.0,305.0
102600,18.0,63.0,60.0,60.0,299.0
102700,19.0,51.0,68.0,58.0,304.0
102800,23.0,58.0,75.0,46.0,298.0
102900,27.0,47.0,65.0,61.0,300.0
103000,32.0,45.0,72.0,58.0,293.0
103100,33.0,45.0,73.0,60.0,289.0
103200,33.0,33.0,72.0,62.0,300.0
103300,41.0,26.0,70.0,52.0,311.0
103400,40.0,21.0,82.0,52.0,305.0
103500,39.0,19.0,75.0,50.0,317.0
103600,41.0,21.0,71.0,56.0,311.0
103700,40.0,23.0,69.0,57.0,311.0
103800,41.0,20.0,83.0,51.0,305.0
103900,47.0,21.0,74.0,48.0,310.0
104000,53.0,17.0,76.0,49.0,305.0
104100,64.0,14.0,75.0,52.0,295.0
104200,55.0,22.0,81.0,49.0,293.0
104300,57.0,18.0,71.0,52.0,302.0
104400,62.0,15.0,67.0,59.0,297.0
104500,55.0,16.0,61.0,60.0,308.0
104600,67.0,29.0,60.0,57.0,287.0
104700,74.0,24.0,40.0,60.0,302.0
104800,65.0,32.0,37.0,65.0,301.0
104900,69.0,34.0,33.0,56.0,308.0
105000,71.0,36.0,35.0,57.0,301.0
105100,67.0,35.0,21.0,59.0,318.0
105200,70.0,28.0,27.0,68.0,307.0
105300,69.0,33.0,28.0,67.0,303.0
105400,79.0,35.0,23.0,63.0,300.0
105500,77.0,34.0,26.0,67.0,296.0
105600,79.0,38.0,24.0,72.0,287.0
105700,75.0,37.0,24.0,69.0,295.0
105800,77.0,35.0,23.0,66.0,299.0
105900,77.0,43.0,15.0,69.0,296.0
106000,70.0,45.0,18.0,78.0,289.0
106100,66.0,51.0,19.0,72.0,292.0
106200,67.0,48.0,18.0,65.0,302.0
106300,55.0,52.0,15.0,66.0,312.0
106400,46.0,60.0,20.0,77.0,297.0
106500,46.0,54.0,25.0,75.0,300.0
106600,42.0,50.0,33.0,76.0,299.0
106700,42.0,56.0,26.0,70.0,306.0
106800,41.0,64.0,21.0,71.0,303.0
106900,43.0,68.0,24.0,71.0,294.0
107000,32.0,58.0,27.0,80.0,303.0
107100,29.0,64.0,27.0,77.0,303.0
107200,27.0,61.0,34.0,72.0,306.0
107300,26.0,60.0,37.0,75.0,302.0
107400,24.0,62.0,37.0,77.0,300.0
107500,21.0,63.0,34.0,67.0,315.0
107600,29.0,66.0,34.0,70.0,301.0
107700,22.0,61.0,43.0,73.0,301.0
107800,22.0,62.0,39.0,66.0,311.0
107900,22.0,71.0,40.0,64.0,303.0
108000,24.0,67.0,49.0,56.0,304.0
108100,24.0,70.0,46.0,59.0,301.0
108200,24.0,58.0,49.0,61.0,308.0
108300,22.0,63.0,53.0,61.0,301.0
108400,28.0,56.0,52.0,62.0,302.0
108500,29.0,54.0,55.0,66.0,296.0
108600,25.0,49.0,60.0,62.0,304.0
108700,30.0,47.0,59.0,69.0,295.0
108800,30.0,41.0,61.0,63.0,305.0
108900,36.0,35.0,57.0,62.0,310.0
109000,32.0,38.0,58.0,66.0,306.0
109100,31.0,39.0,69.0,60.0,301.0
109200,25.0,38.0,66.0,63.0,308.0
109300,31.0,28.0,69.0,56.0,316.0
109400,30.0,34.0,67.0,55.0,314.0
109500,37.0,30.0,63.0,54.0,316.0
109600,43.0,22.0,69.0,60.0,306.0
109700,46.0,20.0,64.0,66.0,304.0
109800,48.0,21.0,69.0,59.0,303.0
109900,40.0,28.0,64.0,58.0,310.0
110000,47.0,21.0,68.0,63.0,301.0
110100,42.0,31.0,66.0,54.0,307.0
110200,54.0,28.0,65.0,61.0,292.0
110300,52.0,27.0,61.0,66.0,294.0
110400,57.0,23.0,56.0,62.0,302.0
110500,53.0,23.0,59.0,75.0,290.0
110600,64.0,30.0,46.0,64.0,296.0
110700,60.0,31.0,41.0,61.0,307.0
110800,63.0,32.0,38.0,67.0,300.0
110900,75.0,28.0,38.0,54.0,305.0
111000,74.0,31.0,38.0,60.0,297.0
111100,69.0,41.0,31.0,58.0,301.0
111200,79.0,45.0,27.0,58.0,291.0
111300,68.0,39.0,22.0,74.0,297.0
111400,79.0,45.0,21.0,59.0,296.0
111500,83.0,40.0,20.0,69.0,288.0
111600,79.0,47.0,27.0,66.0,281.0
111700,78.0,42.0,28.0,61.0,291.0
111800,79.0,47.0,18.0,62.0,294.0
111900,76.0,56.0,23.0,62.0,283.0
112000,75.0,56.0,23.0,51.0,295.0
112100,71.0,60.0,14.0,60.0,295.0
112200,66.0,57.0,25.0,62.0,290.0
112300,59.0,58.0,16.0,67.0,300.0
112400,56.0,65.0,28.0,67.0,284.0
112500,47.0,62.0,32.0,71.0,288.0
112600,38.0,64.0,34.0,66.0,298.0
112700,42.0,70.0,35.0,65.0,288.0
112800,41.0,73.0,39.0,66.0,281.0
112900,35.0,77.0,43.0,67.0,278.0
113000,35.0,80.0,47.0,57.0,281.0
113100,30.0,66.0,43.0,68.0,293.0
113200,24.0,73.0,48.0,72.0,283.0
113300,22.0,71.0,48.0,73.0,286.0
113400,23.0,77.0,50.0,67.0,283.0
113500,22.0,74.0,57.0,70.0,277.0
113600,25.0,71.0,63.0,73.0,268.0
113700,14.0,73.0,66.0,70.0,277.0
113800,22.0,68.0,64.0,57.0,289.0
113900,23.0,63.0,68.0,77.0,269.0
114000,23.0,51.0,70.0,71.0,285.0
114100,29.0,57.0,67.0,67.0,280.0
114200,35.0,38.0,72.0,65.0,290.0
114300,38.0,43.0,80.0,54.0,285.0
114400,38.0,32.0,77.0,66.0,287.0
114500,37.0,33.0,77.0,71.0,282.0
114600,49.0,30.0,76.0,63.0,282.0
114700,55.0,23.0,76.0,71.0,275.0
114800,47.0,24.0,79.0,64.0,286.0
114900,46.0,25.0,75.0,75.0,279.0
115000,55.0,30.0,75.0,58.0,282.0
115100,58.0,21.0,71.0,64.0,286.0
115200,58.0,23.0,79.0,64.0,276.0
115300,54.0,26.0,70.0,71.0,279.0
115400,56.0,24.0,63.0,70.0,287.0
115500,63.0,17.0,64.0,72.0,284.0
115600,64.0,21.0,61.0,74.0,280.0
115700,61.0,28.0,56.0,71.0,284.0
115800,75.0,30.0,43.0,66.0,286.0
115900,68.0,36.0,43.0,76.0,277.0
116000,74.0,34.0,42.0,69.0,281.0
116100,73.0,37.0,34.0,68.0,288.0
116200,79.0,35.0,30.0,67.0,289.0
116300,76.0,46.0,27.0,67.0,284.0
116400,79.0,45.0,26.0,70.0,280.0
116500,75.0,36.0,21.0,68.0,300.0
116600,75.0,44.0,20.0,69.0,292.0
116700,69.0,40.0,17.0,76.0,298.0
116800,75.0,43.0,29.0,76.0,277.0
116900,76.0,54.0,25.0,71.0,274.0
117000,80.0,48.0,24.0,62.0,286.0
117100,75.0,50.0,21.0,70.0,284.0
117200,73.0,59.0,20.0,69.0,279.0
117300,76.0,53.0,17.0,72.0,282.0
117400,64.0,58.0,23.0,61.0,294.0
117500,60.0,62.0,24.0,72.0,282.0
117600,55.0,64.0,21.0,74.0,286.0
117700,50.0,64.0,25.0,77.0,284.0
117800,49.0,72.0,29.0,66.0,284.0
117900,32.0,81.0,31.0,76.0,280.0
118000,28.0,81.0,36.0,76.0,279.0
118100,35.0,73.0,32.0,83.0,277.0
118200,28.0,72.0,38.0,80.0,282.0
118300,26.0,85.0,42.0,78.0,269.0
118400,36.0,74.0,35.0,81.0,274.0
118500,23.0,82.0,37.0,80.0,278.0
118600,22.0,82.0,43.0,82.0,271.0
118700,20.0,82.0,47.0,73.0,278.0
118800,22.0,72.0,51.0,70.0,285.0
118900,18.0,81.0,52.0,81.0,268.0
119000,24.0,72.0,45.0,80.0,279.0
119100,25.0,71.0,47.0,83.0,274.0
119200,21.0,66.0,56.0,73.0,284.0
119300,31.0,62.0,58.0,72.0,277.0
119400,23.0,56.0,64.0,82.0,275.0
119500,23.0,44.0,63.0,77.0,293.0
119600,21.0,43.0,66.0,76.0,294.0
119700,27.0,37.0,71.0,79.0,286.0
119800,26.0,44.0,68.0,77.0,285.0
119900,29.0,36.0,68.0,77.0,290.0
120000,36.0,29.0,76.0,67.0,292.0
120100,34.0,39.0,67.0,72.0,288.0
120200,34.0,31.0,69.0,78.0,288.0
120300,41.0,25.0,73.0,81.0,280.0
120400,34.0,19.0,68.0,80.0,299.0
120500,43.0,24.0,72.0,70.0,291.0
120600,41.0,22.0,66.0,73.0,298.0
120700,43.0,26.0,71.0,69.0,291.0
120800,46.0,17.0,78.0,71.0,288.0
120900,43.0,18.0,69.0,86.0,284.0
121000,46.0,22.0,78.0,72.0,282.0
