id,hostname,planet_letter,planet_name,discovery_method,orbital_period,planet_jupiter_mass
873,HIP 14810,c,HIP 14810 c,Radial Velocity,147.747,1.31
874,HIP 14810,d,HIP 14810 d,Radial Velocity,981.8,0.59
875,HIP 35173,b,HIP 35173 b,Radial Velocity,41.516,0.03996
876,HIP 41378,b,HIP 41378 b,Transit,15.572098,
877,HIP 41378,c,HIP 41378 c,Transit,31.70648,
878,HIP 41378,d,HIP 41378 d,Transit,1114,
879,HIP 41378,e,HIP 41378 e,Transit,,
880,HIP 41378,f,HIP 41378 f,Transit,1084,
881,HIP 5158,b,HIP 5158 b,Radial Velocity,345.72,0.96
882,HIP 5158,c,HIP 5158 c,Radial Velocity,9017.76,15.04
883,HIP 54373,b,HIP 54373 b,Radial Velocity,7.76,0.02712
884,HIP 54373,c,HIP 54373 c,Radial Velocity,15.144,0.03914
885,HIP 57274,b,HIP 57274 b,Radial Velocity,8.1352,0.02
886,HIP 57274,c,HIP 57274 c,Radial Velocity,32.03,0.40902
887,HIP 57274,d,HIP 57274 d,Radial Velocity,431.7,0.5267
888,HIP 63242,b,HIP 63242 b,Radial Velocity,124.6,9.18
889,HIP 65407,b,HIP 65407 b,Radial Velocity,28.125,0.428
890,HIP 65407,c,HIP 65407 c,Radial Velocity,67.3,0.784
891,HIP 65426,b,HIP 65426 b,Imaging,,9
892,HIP 65891,b,HIP 65891 b,Radial Velocity,1084.5,6
893,HIP 67537,b,HIP 67537 b,Radial Velocity,2556.5,11.1
894,HIP 67851,b,HIP 67851 b,Radial Velocity,88.9,1.38
895,HIP 67851,c,HIP 67851 c,Radial Velocity,2131.8,5.98
896,HIP 70849,b,HIP 70849 b,Radial Velocity,17337.5,9
897,HIP 71135,b,HIP 71135 b,Radial Velocity,87.19,0.05915
898,HIP 74890,b,HIP 74890 b,Radial Velocity,822.3,2.4
899,HIP 78530,b,HIP 78530 b,Imaging,,23
900,HIP 79098 AB,b,HIP 79098 AB b,Imaging,,20.5
901,HIP 79431,b,HIP 79431 b,Radial Velocity,111.7,2.1
902,HIP 8541,b,HIP 8541 b,Radial Velocity,1560.2,5.5
903,HIP 91258,b,HIP 91258 b,Radial Velocity,5.0505,1.09
904,HIP 97233,b,HIP 97233 b,Radial Velocity,1058.8,20
905,HN Peg,b,HN Peg b,Imaging,,21.9987
906,HR 2562,b,HR 2562 b,Imaging,,30
907,HR 810,b,HR 810 b,Radial Velocity,302.79999,2.27
908,HR 8799,b,HR 8799 b,Imaging,170000,7
909,HR 8799,c,HR 8799 c,Imaging,69000,10
910,HR 8799,d,HR 8799 d,Imaging,37000,10
911,HR 8799,e,HR 8799 e,Imaging,,10
912,IC 4651 9122,b,IC 4651 9122 b,Radial Velocity,734,6.3
913,K2-10,b,K2-10 b,Transit,19.3044,0.08495
914,K2-100,b,K2-100 b,Transit,1.673833,
915,K2-101,b,K2-101 b,Transit,14.677286,
916,K2-102,b,K2-102 b,Transit,9.915615,
917,K2-104,b,K2-104 b,Transit,1.974238,
918,K2-105,b,K2-105 b,Transit,8.267704,
919,K2-107,b,K2-107 b,Transit,3.313959,
920,K2-108,b,K2-108 b,Transit,4.733999,
921,K2-11,b,K2-11 b,Transit,39.93767,
922,K2-110,b,K2-110 b,Transit,13.86387,
923,K2-111,b,K2-111 b,Transit,5.35117,0.02706
924,K2-113,b,K2-113 b,Transit,5.817685,
925,K2-114,b,K2-114 b,Transit,11.391013,
926,K2-115,b,K2-115 b,Transit,20.272615,
927,K2-116,b,K2-116 b,Transit,4.655411,
928,K2-117,b,K2-117 b,Transit,1.2916,
929,K2-117,c,K2-117 c,Transit,5.444017,
930,K2-118,b,K2-118 b,Transit,50.92092,
931,K2-119,b,K2-119 b,Transit,7.727283,
932,K2-12,b,K2-12 b,Transit,8.28212,
933,K2-120,b,K2-120 b,Transit,9.562742,
934,K2-121,b,K2-121 b,Transit,5.185761,
935,K2-122,b,K2-122 b,Transit,2.219282,
936,K2-123,b,K2-123 b,Transit,30.951524,
937,K2-124,b,K2-124 b,Transit,6.413651,
938,K2-125,b,K2-125 b,Transit,21.750264,
939,K2-126,b,K2-126 b,Transit,7.385655,
940,K2-127,b,K2-127 b,Transit,3.588163,
941,K2-128,b,K2-128 b,Transit,5.675819,
942,K2-129,b,K2-129 b,Transit,8.239493,
943,K2-13,b,K2-13 b,Transit,39.91488,
944,K2-130,b,K2-130 b,Transit,2.49412,
945,K2-131,b,K2-131 b,Transit,0.36931,
946,K2-132,b,K2-132 b,Transit,9.1751,0.49
947,K2-133,b,K2-133 b,Transit,3.07133,
948,K2-133,c,K2-133 c,Transit,4.86784,
949,K2-133,d,K2-133 d,Transit,11.02454,
950,K2-133,e,K2-133 e,Transit,26.5841,
951,K2-136,b,K2-136 b,Transit,7.975292,
952,K2-136,c,K2-136 c,Transit,17.307137,
953,K2-136,d,K2-136 d,Transit,25.575065,
954,K2-137,b,K2-137 b,Transit,0.179715,0.5
955,K2-138,b,K2-138 b,Transit,2.35322,
956,K2-138,c,K2-138 c,Transit,3.55987,
957,K2-138,d,K2-138 d,Transit,5.40478,
958,K2-138,e,K2-138 e,Transit,8.26144,
959,K2-138,f,K2-138 f,Transit,12.75759,
960,K2-139,b,K2-139 b,Transit,28.380619,
961,K2-14,b,K2-14 b,Transit,8.36802,
962,K2-140,b,K2-140 b,Transit,6.56918,
963,K2-141,b,K2-141 b,Transit,0.2803244,0.01598
964,K2-141,c,K2-141 c,Transit,7.7485,0.02328
965,K2-146,b,K2-146 b,Transit,2.644661,
966,K2-147,b,K2-147 b,Transit,0.961917,
967,K2-148,b,K2-148 b,Transit,4.38395,
968,K2-148,c,K2-148 c,Transit,6.9226,
969,K2-148,d,K2-148 d,Transit,9.7579,
970,K2-149,b,K2-149 b,Transit,11.332,
971,K2-15,b,K2-15 b,Transit,11.8104,
972,K2-150,b,K2-150 b,Transit,10.59357,
973,K2-151,b,K2-151 b,Transit,3.835476,
974,K2-152,b,K2-152 b,Transit,32.6479,
975,K2-153,b,K2-153 b,Transit,7.51574,
976,K2-154,b,K2-154 b,Transit,3.67626,
977,K2-154,c,K2-154 c,Transit,7.95486,
978,K2-155,b,K2-155 b,Transit,6.342,
979,K2-155,c,K2-155 c,Transit,13.85,
980,K2-155,d,K2-155 d,Transit,40.718,
981,K2-156,b,K2-156 b,Transit,0.81314,
982,K2-157,b,K2-157 b,Transit,0.365257,
983,K2-158,b,K2-158 b,Transit,10.06049,
984,K2-158,c,K2-158 c,Transit,5.90279,
985,K2-159,b,K2-159 b,Transit,12.42205,
986,K2-16,b,K2-16 b,Transit,7.6188,
987,K2-16,c,K2-16 c,Transit,19.07863,
988,K2-160,b,K2-160 b,Transit,3.705871,
989,K2-161,b,K2-161 b,Transit,9.283188,
990,K2-162,b,K2-162 b,Transit,9.45889,
991,K2-163,b,K2-163 b,Transit,6.673117,
992,K2-164,b,K2-164 b,Transit,17.355066,
993,K2-165,b,K2-165 b,Transit,2.354992,
994,K2-165,c,K2-165 c,Transit,4.382745,
995,K2-165,d,K2-165 d,Transit,14.101361,
996,K2-166,b,K2-166 b,Transit,8.52695,
997,K2-167,b,K2-167 b,Transit,9.977481,
998,K2-168,b,K2-168 b,Transit,15.853989,
999,K2-169,b,K2-169 b,Transit,6.380803,
1000,K2-17,b,K2-17 b,Transit,17.96753,
1001,K2-170,b,K2-170 b,Transit,7.576544,
1002,K2-170,c,K2-170 c,Transit,12.400047,
1003,K2-171,b,K2-171 b,Transit,5.628466,
1004,K2-172,b,K2-172 b,Transit,14.316941,
1005,K2-172,c,K2-172 c,Transit,29.62682,
1006,K2-173,b,K2-173 b,Transit,5.868699,
1007,K2-174,b,K2-174 b,Transit,19.562307,
1008,K2-175,b,K2-175 b,Transit,9.525988,
1009,K2-176,b,K2-176 b,Transit,5.329439,
1010,K2-177,b,K2-177 b,Transit,14.155185,
1011,K2-178,b,K2-178 b,Transit,8.747818,
1012,K2-179,b,K2-179 b,Transit,5.172191,
1013,K2-18,b,K2-18 b,Transit,32.939623,0.02807
1014,K2-18,c,K2-18 c,Radial Velocity,8.962,0.02363
1015,K2-180,b,K2-180 b,Transit,8.867209,
1016,K2-181,b,K2-181 b,Transit,6.894256,
1017,K2-182,b,K2-182 b,Transit,4.736837,
1018,K2-183,b,K2-183 b,Transit,0.469269,
1019,K2-183,c,K2-183 c,Transit,10.792635,
1020,K2-183,d,K2-183 d,Transit,22.631964,
1021,K2-184,b,K2-184 b,Transit,16.995731,
1022,K2-185,b,K2-185 b,Transit,10.616646,
1023,K2-186,b,K2-186 b,Transit,41.474219,
1024,K2-187,b,K2-187 b,Transit,0.77392,
1025,K2-187,c,K2-187 c,Transit,2.872042,
1026,K2-187,d,K2-187 d,Transit,7.14921,
1027,K2-187,e,K2-187 e,Transit,13.609878,
1028,K2-188,b,K2-188 b,Transit,1.742169,
1029,K2-188,c,K2-188 c,Transit,7.810253,
1030,K2-189,b,K2-189 b,Transit,2.588309,
1031,K2-189,c,K2-189 c,Transit,6.679195,
1032,K2-19,b,K2-19 b,Transit,7.9194,
1033,K2-19,c,K2-19 c,Transit,11.90715,
1034,K2-19,d,K2-19 d,Transit,2.50856,
1035,K2-190,b,K2-190 b,Transit,10.098858,
1036,K2-190,c,K2-190 c,Transit,21.574023,
1037,K2-191,b,K2-191 b,Transit,2.858646,
1038,K2-192,b,K2-192 b,Transit,4.162817,
1039,K2-193,b,K2-193 b,Transit,14.786889,
1040,K2-194,b,K2-194 b,Transit,39.721386,
1041,K2-195,b,K2-195 b,Transit,15.852975,
1042,K2-195,c,K2-195 c,Transit,28.482786,
1043,K2-196,b,K2-196 b,Transit,48.324222,
1044,K2-197,b,K2-197 b,Transit,8.357881,
1045,K2-198,b,K2-198 b,Transit,17.043179,
1046,K2-199,b,K2-199 b,Transit,3.225338,
1047,K2-199,c,K2-199 c,Transit,7.374694,
1048,K2-200,b,K2-200 b,Transit,2.849883,
1049,K2-201,b,K2-201 b,Transit,1.05979,
1050,K2-201,c,K2-201 c,Transit,22.779878,
1051,K2-202,b,K2-202 b,Transit,3.405164,
1052,K2-203,b,K2-203 b,Transit,9.695101,
1053,K2-204,b,K2-204 b,Transit,7.055784,
1054,K2-205,b,K2-205 b,Transit,26.672263,
1055,K2-206,b,K2-206 b,Transit,18.294549,
1056,K2-207,b,K2-207 b,Transit,12.48749,
1057,K2-208,b,K2-208 b,Transit,4.190948,
1058,K2-209,b,K2-209 b,Transit,2.080615,
1059,K2-21,b,K2-21 b,Transit,9.325038,
1060,K2-21,c,K2-21 c,Transit,15.50192,
1061,K2-210,b,K2-210 b,Transit,0.570233,
1062,K2-211,b,K2-211 b,Transit,0.669558,
1063,K2-212,b,K2-212 b,Transit,9.79551,
1064,K2-213,b,K2-213 b,Transit,8.13087,
1065,K2-214,b,K2-214 b,Transit,8.596802,
1066,K2-215,b,K2-215 b,Transit,8.269648,
1067,K2-216,b,K2-216 b,Transit,2.1748,0.02517
1068,K2-217,b,K2-217 b,Transit,14.074524,
1069,K2-218,b,K2-218 b,Transit,8.679885,
1070,K2-219,b,K2-219 b,Transit,3.901287,
1071,K2-219,c,K2-219 c,Transit,6.66767,
1072,K2-219,d,K2-219 d,Transit,11.137278,
1073,K2-22,b,K2-22 b,Transit,0.381078,1.4
1074,K2-220,b,K2-220 b,Transit,13.683256,
1075,K2-221,b,K2-221 b,Transit,2.399094,
1076,K2-222,b,K2-222 b,Transit,15.387063,
1077,K2-223,b,K2-223 b,Transit,0.50565,
1078,K2-223,c,K2-223 c,Transit,4.56327,
1079,K2-224,b,K2-224 b,Transit,4.47904,
1080,K2-224,c,K2-224 c,Transit,10.09489,
1081,K2-225,b,K2-225 b,Transit,15.87209,
1082,K2-226,b,K2-226 b,Transit,3.27108,
1083,K2-227,b,K2-227 b,Transit,13.621832,
1084,K2-228,b,K2-228 b,Transit,2.69828,
1085,K2-229,b,K2-229 b,Transit,0.58426,
1086,K2-229,c,K2-229 c,Transit,8.32727,
1087,K2-230,b,K2-230 b,Transit,2.86041,
1088,K2-231,b,K2-231 b,Transit,13.841901,
1089,K2-232,b,K2-232 b,Transit,11.168454,0.398
1090,K2-233,b,K2-233 b,Transit,2.46746,
1091,K2-233,c,K2-233 c,Transit,7.06142,
1092,K2-233,d,K2-233 d,Transit,24.3662,
1093,K2-237,b,K2-237 b,Transit,2.1805577,1.236
1094,K2-238,b,K2-238 b,Transit,3.20466,0.86
1095,K2-239,b,K2-239 b,Transit,5.24,
1096,K2-239,c,K2-239 c,Transit,7.775,
1097,K2-239,d,K2-239 d,Transit,10.115,
1098,K2-24,b,K2-24 b,Transit,20.88977,0.05978
1099,K2-24,c,K2-24 c,Transit,42.3391,0.04845
1100,K2-240,b,K2-240 b,Transit,6.034,
1101,K2-240,c,K2-240 c,Transit,20.523,
1102,K2-241,b,K2-241 b,Transit,26.8199,
1103,K2-242,b,K2-242 b,Transit,6.51389,
1104,K2-243,b,K2-243 b,Transit,11.54182,
1105,K2-243,c,K2-243 c,Transit,24.94598,
1106,K2-244,b,K2-244 b,Transit,21.06884,
1107,K2-245,b,K2-245 b,Transit,11.89307,
1108,K2-246,b,K2-246 b,Transit,5.76918,
1109,K2-247,b,K2-247 b,Transit,2.25021,
1110,K2-247,c,K2-247 c,Transit,6.49424,
1111,K2-248,b,K2-248 b,Transit,7.17256,
1112,K2-249,b,K2-249 b,Transit,12.409,
1113,K2-25,b,K2-25 b,Transit,3.484552,
1114,K2-250,b,K2-250 b,Transit,4.01457,
1115,K2-251,b,K2-251 b,Transit,9.30075,
1116,K2-252,b,K2-252 b,Transit,13.81513,
1117,K2-253,b,K2-253 b,Transit,4.00167,
1118,K2-254,b,K2-254 b,Transit,4.09639,
1119,K2-254,c,K2-254 c,Transit,12.11839,
1120,K2-255,b,K2-255 b,Transit,1.96417,
1121,K2-256,b,K2-256 b,Transit,5.52011,
1122,K2-257,b,K2-257 b,Transit,1.60588,
1123,K2-258,b,K2-258 b,Transit,19.0921,
1124,K2-259,b,K2-259 b,Transit,15.48043,
1125,K2-26,b,K2-26 b,Transit,14.5665,
1126,K2-260,b,K2-260 b,Transit,2.6266657,1.42
1127,K2-261,b,K2-261 b,Transit,11.63344,0.223
1128,K2-263,b,K2-263 b,Transit,50.818947,0.04657
1129,K2-264,b,K2-264 b,Transit,5.840002,
1130,K2-264,c,K2-264 c,Transit,19.660302,
1131,K2-265,b,K2-265 b,Transit,2.369172,0.02058
1132,K2-266,b,K2-266 b,Transit,0.658524,0.03555
1133,K2-266,c,K2-266 c,Transit,7.814,0.00091
1134,K2-266,d,K2-266 d,Transit,14.697,0.02958
1135,K2-266,e,K2-266 e,Transit,19.482,0.02611
1136,K2-268,b,K2-268 b,Transit,2.151894,
1137,K2-268,c,K2-268 c,Transit,9.326841,
1138,K2-269,b,K2-269 b,Transit,4.144965,
1139,K2-27,b,K2-27 b,Transit,6.771315,0.09722
1140,K2-270,b,K2-270 b,Transit,1.543069,
1141,K2-270,c,K2-270 c,Transit,4.400028,
1142,K2-271,b,K2-271 b,Transit,8.562421,
1143,K2-272,b,K2-272 b,Transit,14.453533,
1144,K2-273,b,K2-273 b,Transit,11.716332,
1145,K2-274,b,K2-274 b,Transit,14.129714,
1146,K2-275,b,K2-275 b,Transit,3.280961,
1147,K2-275,c,K2-275 c,Transit,8.438756,
1148,K2-276,b,K2-276 b,Transit,18.718269,
1149,K2-277,b,K2-277 b,Transit,6.326763,
1150,K2-278,b,K2-278 b,Transit,3.334966,
1151,K2-279,b,K2-279 b,Transit,7.122605,
1152,K2-28,b,K2-28 b,Transit,2.260455,
1153,K2-280,b,K2-280 b,Transit,19.895202,
1154,K2-281,b,K2-281 b,Transit,8.687721,
1155,K2-282,b,K2-282 b,Transit,4.169836,
1156,K2-283,b,K2-283 b,Transit,1.921036,
1157,K2-284,b,K2-284 b,Transit,4.795069,
1158,K2-285,b,K2-285 b,Transit,3.471745,0.03046
1159,K2-285,c,K2-285 c,Transit,7.138048,0.04933
1160,K2-285,d,K2-285 d,Transit,10.45582,0.02045
1161,K2-285,e,K2-285 e,Transit,14.76289,0.03367
1162,K2-286,b,K2-286 b,Transit,27.359,
1163,K2-287,b,K2-287 b,Transit,14.893291,0.315
1164,K2-288 B,b,K2-288 B b,Transit,31.393463,
1165,K2-289,b,K2-289 b,Transit,13.156969,
1166,K2-29,b,K2-29 b,Transit,3.2588321,0.73
1167,K2-290,b,K2-290 b,Transit,9.21165,0.0343
1168,K2-290,c,K2-290 c,Transit,48.36685,0.774
1169,K2-291,b,K2-291 b,Transit,2.225177,0.02042
1170,K2-293,b,K2-293 b,Transit,13.1225,
1171,K2-294,b,K2-294 b,Transit,2.50387,
1172,K2-295,b,K2-295 b,Transit,4.024867,0.335
1173,K2-3,b,K2-3 b,Transit,10.05449,
1174,K2-3,c,K2-3 c,Transit,24.64354,
1175,K2-3,d,K2-3 d,Transit,44.55983,
1176,K2-30,b,K2-30 b,Transit,4.098503,0.579
1177,K2-31,b,K2-31 b,Transit,1.25785,1.774
1178,K2-32,b,K2-32 b,Transit,8.991828,
1179,K2-32,c,K2-32 c,Transit,20.66186,
1180,K2-32,d,K2-32 d,Transit,31.7142,
1181,K2-32,e,K2-32 e,Transit,4.34882,
1182,K2-33,b,K2-33 b,Transit,5.424865,3.7
1183,K2-34,b,K2-34 b,Transit,2.995633,
1184,K2-35,b,K2-35 b,Transit,5.608352,
1185,K2-35,c,K2-35 c,Transit,2.399964,
1186,K2-36,b,K2-36 b,Transit,1.42266,
1187,K2-36,c,K2-36 c,Transit,5.34059,
1188,K2-37,b,K2-37 b,Transit,4.44117,
1189,K2-37,c,K2-37 c,Transit,6.42904,
1190,K2-37,d,K2-37 d,Transit,14.09189,
1191,K2-38,b,K2-38 b,Transit,4.01593,0.06
1192,K2-38,c,K2-38 c,Transit,10.56103,0.03115
1193,K2-39,b,K2-39 b,Transit,4.60543,0.09
1194,K2-4,b,K2-4 b,Transit,10.003417,
1195,K2-42,b,K2-42 b,Transit,6.68796,
1196,K2-43,b,K2-43 b,Transit,3.471341,
1197,K2-44,b,K2-44 b,Transit,5.65688,
1198,K2-45,b,K2-45 b,Transit,1.7292684,
1199,K2-46,b,K2-46 b,Transit,19.1541,
1200,K2-47,b,K2-47 b,Transit,31.6372,
1201,K2-48,b,K2-48 b,Transit,20.5065,
1202,K2-49,b,K2-49 b,Transit,2.77065,
1203,K2-5,b,K2-5 b,Transit,5.73594,
1204,K2-5,c,K2-5 c,Transit,10.93241,
1205,K2-50,b,K2-50 b,Transit,8.7529,
1206,K2-52,b,K2-52 b,Transit,3.535055,
1207,K2-53,b,K2-53 b,Transit,12.20772,
1208,K2-54,b,K2-54 b,Transit,9.7843,
1209,K2-55,b,K2-55 b,Transit,2.849258,
1210,K2-57,b,K2-57 b,Transit,9.0063,
1211,K2-58,b,K2-58 b,Transit,7.05254,
1212,K2-58,c,K2-58 c,Transit,2.53726,
1213,K2-58,d,K2-58 d,Transit,22.8827,
1214,K2-59,b,K2-59 b,Transit,20.6921,
1215,K2-59,c,K2-59 c,Transit,11.2954,
1216,K2-6,b,K2-6 b,Transit,30.94191,
1217,K2-60,b,K2-60 b,Transit,3.00265,0.426
1218,K2-61,b,K2-61 b,Transit,2.57302,
1219,K2-62,b,K2-62 b,Transit,6.67202,
1220,K2-62,c,K2-62 c,Transit,16.1966,
1221,K2-63,b,K2-63 b,Transit,20.257,
1222,K2-63,c,K2-63 c,Transit,25.4556,
1223,K2-64,b,K2-64 b,Transit,6.53044,
1224,K2-65,b,K2-65 b,Transit,12.6475,
1225,K2-66,b,K2-66 b,Transit,5.06963,0.06702
1226,K2-68,b,K2-68 b,Transit,8.05428,
1227,K2-69,b,K2-69 b,Transit,7.06599,
1228,K2-7,b,K2-7 b,Transit,28.67992,
1229,K2-70,b,K2-70 b,Transit,13.97896,
1230,K2-71,b,K2-71 b,Transit,6.98541,
1231,K2-72,b,K2-72 b,Transit,5.577212,
1232,K2-72,c,K2-72 c,Transit,15.189034,
1233,K2-72,d,K2-72 d,Transit,7.760178,
1234,K2-72,e,K2-72 e,Transit,24.158868,
1235,K2-73,b,K2-73 b,Transit,7.49543,
1236,K2-74,b,K2-74 b,Transit,19.5666,
1237,K2-75,b,K2-75 b,Transit,7.8142,
1238,K2-75,c,K2-75 c,Transit,18.311,
1239,K2-77,b,K2-77 b,Transit,8.199796,1.9
1240,K2-79,b,K2-79 b,Transit,10.99573,
1241,K2-8,b,K2-8 b,Transit,10.35239,
1242,K2-8,c,K2-8 c,Transit,5.06416,
1243,K2-80,b,K2-80 b,Transit,19.0918,
1244,K2-80,c,K2-80 c,Transit,5.605,
1245,K2-80,d,K2-80 d,Transit,28.867253,
1246,K2-81,b,K2-81 b,Transit,6.102325,
1247,K2-83,b,K2-83 b,Transit,2.74697,
1248,K2-83,c,K2-83 c,Transit,9.99767,
1249,K2-84,b,K2-84 b,Transit,6.4215,
1250,K2-84,c,K2-84 c,Transit,27.86,
1251,K2-85,b,K2-85 b,Transit,0.684533,
1252,K2-86,b,K2-86 b,Transit,8.77683,
1253,K2-87,b,K2-87 b,Transit,9.726618,
1254,K2-88,b,K2-88 b,Transit,4.6122,
1255,K2-89,b,K2-89 b,Transit,1.096026,
1256,K2-9,b,K2-9 b,Transit,18.4498,
1257,K2-90,b,K2-90 b,Transit,13.733314,
1258,K2-90,c,K2-90 c,Transit,2.900706,
1259,K2-91,b,K2-91 b,Transit,1.419549,
1260,K2-95,b,K2-95 b,Transit,10.134016,
1261,K2-97,b,K2-97 b,Transit,8.406726,
1262,K2-98,b,K2-98 b,Transit,10.136448,
1263,K2-99,b,K2-99 b,Transit,18.251985,
1264,KELT-1,b,KELT-1 b,Transit,1.217514,27.23
1265,KELT-10,b,KELT-10 b,Transit,4.1662739,0.679
1266,KELT-11,b,KELT-11 b,Transit,4.7361,0.171
1267,KELT-12,b,KELT-12 b,Transit,5.031623,0.95
1268,KELT-14,b,KELT-14 b,Transit,1.7100566,1.284
1269,KELT-15,b,KELT-15 b,Transit,3.32944,1.31
1270,KELT-16,b,KELT-16 b,Transit,0.9689951,2.75
1271,KELT-17,b,KELT-17 b,Transit,3.0801716,1.31
1272,KELT-18,b,KELT-18 b,Transit,2.8717518,1.18
1273,KELT-19 A,b,KELT-19 A b,Transit,4.6117093,4.07
1274,KELT-2 A,b,KELT-2 A b,Transit,4.11379,1.7
1275,KELT-20,b,KELT-20 b,Transit,3.4741085,3.382
1276,KELT-21,b,KELT-21 b,Transit,3.6127647,3.91
1277,KELT-23 A,b,KELT-23 A b,Transit,2.255251,0.938
1278,KELT-3,b,KELT-3 b,Transit,2.70339,1.94
1279,KELT-4 A,b,KELT-4 A b,Transit,2.9895932,0.902
1280,KELT-6,b,KELT-6 b,Transit,7.8457,0.52
1281,KELT-6,c,KELT-6 c,Radial Velocity,1276,3.71
1282,KELT-7,b,KELT-7 b,Transit,2.73477,1.39
1283,KELT-8,b,KELT-8 b,Transit,3.24406,0.66
1284,KELT-9,b,KELT-9 b,Transit,1.4811235,2.88
1285,KIC 10001893,b,KIC 10001893 b,Orbital Brightness Modulation,0.2197,
1286,KIC 10001893,c,KIC 10001893 c,Orbital Brightness Modulation,0.32528,
1287,KIC 10001893,d,KIC 10001893 d,Orbital Brightness Modulation,0.81161,
1288,KIC 10525077,b,KIC 10525077 b,Transit,854.083,
1289,KIC 3558849,b,KIC 3558849 b,Transit,1322.3,
1290,KIC 5437945,b,KIC 5437945 b,Transit,440.7813,
1291,KIC 5951458,b,KIC 5951458 b,Transit,1320.1,
1292,KIC 7917485,b,KIC 7917485 b,Pulsation Timing Variations,840,11.8
1293,KOI-7892,b,KIC 8540376 b,Transit,31.8099,
1294,KOI-7892,c,KIC 8540376 c,Transit,75.2,
1295,KIC 9663113,b,KIC 9663113 b,Transit,572.3847,
1296,KMT-2016-BLG-1107L,b,KMT-2016-BLG-1107L b,Microlensing,,3.283
1297,KMT-2016-BLG-1397L,b,KMT-2016-BLG-1397L b,Microlensing,,7
1298,KMT-2016-BLG-1820L,b,KMT-2016-BLG-1820L b,Microlensing,,4.57
1299,KMT-2016-BLG-2142L,b,KMT-2016-BLG-2142L b,Microlensing,,15.49
1300,KMT-2017-BLG-1038L,b,KMT-2017-BLG-1038L b,Microlensing,,2
1301,KMT-2017-BLG-1146L,b,KMT-2017-BLG-1146L b,Microlensing,,0.71
1302,KOI-12,b,KOI-12 b,Transit,17.85523,5.32
1303,KOI-1257,b,KOI-1257 b,Transit,86.647661,1.45
1304,KOI-13,b,KOI-13 b,Transit,1.763588,9.28
1305,KOI-142,b,KOI-142 b,Transit,10.95416,0.027
1306,KOI-142,c,KOI-142 c,Transit Timing Variations,22.3395,0.626
1307,KOI-1599,c,KOI-1599.01,Transit,20.4415,0.01447
1308,KOI-1599,b,KOI-1599.02,Transit,13.6088,0.02832
1309,KOI-217,b,KOI-217 b,Transit,3.90512,
1310,KOI-351,b,KOI-351 b,Transit,7.008151,
1311,KOI-351,c,KOI-351 c,Transit,8.719375,
1312,KOI-351,d,KOI-351 d,Transit,59.73667,
1313,KOI-351,e,KOI-351 e,Transit,91.93913,
1314,KOI-351,f,KOI-351 f,Transit,124.9144,
1315,KOI-351,g,KOI-351 g,Transit,210.60697,
1316,KOI-351,h,KOI-351 h,Transit,331.60059,
1317,KOI-3680,b,KOI-3680 b,Transit,141.241671,1.93
1318,KOI-55,b,KOI-55 b,Orbital Brightness Modulation,0.240104,0.0014
1319,KOI-55,c,KOI-55 c,Orbital Brightness Modulation,0.342887,0.0021
1320,KOI-94,b,KOI-94 b,Transit,3.743208,0.033
1321,KOI-94,c,KOI-94 c,Transit,10.423648,0.049
1322,KOI-94,d,KOI-94 d,Transit,22.342989,0.334
1323,KOI-94,e,KOI-94 e,Transit,54.32031,0.11
1324,KPS-1,b,KPS-1 b,Transit,1.706291,1.09
1325,Kapteyn,c,Kapteyn c,Radial Velocity,121.54,0.022
1326,Kepler-10,b,Kepler-10 b,Transit,0.837491,0.0145
1327,Kepler-10,c,Kepler-10 c,Transit,45.294301,0.054
1328,Kepler-100,b,Kepler-100 b,Transit,6.88705,0.023
1329,Kepler-100,c,Kepler-100 c,Transit,12.8159,0.02218
1330,Kepler-100,d,Kepler-100 d,Transit,35.3331,0.00944
1331,Kepler-1000,b,Kepler-1000 b,Transit,120.0181272,
1332,Kepler-1001,b,Kepler-1001 b,Transit,14.30511983,
1333,Kepler-1002,b,Kepler-1002 b,Transit,4.33642933,
1334,Kepler-1003,b,Kepler-1003 b,Transit,3.55485691,
1335,Kepler-1004,b,Kepler-1004 b,Transit,5.28789787,
1336,Kepler-1005,b,Kepler-1005 b,Transit,6.49801525,
1337,Kepler-1006,b,Kepler-1006 b,Transit,19.76172042,
1338,Kepler-1007,b,Kepler-1007 b,Transit,5.18500207,
1339,Kepler-1008,b,Kepler-1008 b,Transit,12.43931193,
1340,Kepler-1009,b,Kepler-1009 b,Transit,11.35011917,
1341,Kepler-101,b,Kepler-101 b,Transit,3.4876812,0.16
1342,Kepler-101,c,Kepler-101 c,Transit,6.02976,0.01
1343,Kepler-1010,b,Kepler-1010 b,Transit,34.2685705,
1344,Kepler-1011,b,Kepler-1011 b,Transit,5.75322197,
1345,Kepler-1012,b,Kepler-1012 b,Transit,5.50860439,
1346,Kepler-1013,b,Kepler-1013 b,Transit,18.93054959,
1347,Kepler-1014,b,Kepler-1014 b,Transit,16.57110363,
1348,Kepler-1015,b,Kepler-1015 b,Transit,16.00494214,
1349,Kepler-1016,b,Kepler-1016 b,Transit,1.95452434,
1350,Kepler-1016,c,Kepler-1016 c,Transit,105.6551369,
1351,Kepler-1017,b,Kepler-1017 b,Transit,7.23400469,
1352,Kepler-1018,b,Kepler-1018 b,Transit,49.1013514,
