id,hostname,planet_letter,planet_name,discovery_method,orbital_period,planet_jupiter_mass
419,HD 136352,b,HD 136352 b,Radial Velocity,11.5824,0.0151
420,HD 136352,c,HD 136352 c,Radial Velocity,27.5821,0.034
421,HD 136352,d,HD 136352 d,Radial Velocity,107.5983,0.027
422,HD 136418,b,HD 136418 b,Radial Velocity,464.29999,2.14
423,HD 13724,b,HD 13724 b,Radial Velocity,14763.405,26.77
424,HD 137388,b,HD 137388 b,Radial Velocity,330,0.2
425,HD 13908,b,HD 13908 b,Radial Velocity,19.382,0.865
426,HD 13908,c,HD 13908 c,Radial Velocity,931,5.13
427,HD 13931,b,HD 13931 b,Radial Velocity,4218,2.2
428,HD 139357,b,HD 139357 b,Radial Velocity,1125.7,9.76
429,HD 1397,b,HD 1397 b,Transit,11.53533,0.415
430,HD 14067,b,HD 14067 b,Radial Velocity,1455,7.8
431,HD 141399,b,HD 141399 b,Radial Velocity,94.44,0.451
432,HD 141399,c,HD 141399 c,Radial Velocity,201.99,1.33
433,HD 141399,d,HD 141399 d,Radial Velocity,1069.8,1.18
434,HD 141399,e,HD 141399 e,Radial Velocity,5000,0.66
435,HD 141937,b,HD 141937 b,Radial Velocity,653.21997,9.69
436,HD 142,b,HD 142 b,Radial Velocity,349.7,1.25
437,HD 142,c,HD 142 c,Radial Velocity,6005,5.3
438,HD 142022 A,b,HD 142022 A b,Radial Velocity,1928,4.44
439,HD 142245,b,HD 142245 b,Radial Velocity,1299,3.07
440,HD 142415,b,HD 142415 b,Radial Velocity,386.29999,1.67
441,HD 143105,b,HD 143105 b,Radial Velocity,2.1974,1.21
442,HD 143361,b,HD 143361 b,Radial Velocity,1039.15,3.532
443,HD 145377,b,HD 145377 b,Radial Velocity,103.95,6.02
444,HD 145457,b,HD 145457 b,Radial Velocity,176.3,2.23
445,HD 145934,b,HD 145934 b,Radial Velocity,2730,2.28
446,HD 1461,b,HD 1461 b,Radial Velocity,5.77152,0.02026
447,HD 1461,c,HD 1461 c,Radial Velocity,13.5052,0.01759
448,HD 147018,b,HD 147018 b,Radial Velocity,44.236,2.12
449,HD 147018,c,HD 147018 c,Radial Velocity,1008,6.56
450,HD 147379,b,HD 147379 b,Radial Velocity,86.78,0.08983
451,HD 147513,b,HD 147513 b,Radial Velocity,528.4,1.21
452,HD 14787,b,HD 14787 b,Radial Velocity,676.6,1.121
453,HD 147873,b,HD 147873 b,Radial Velocity,116.596,5.14
454,HD 147873,c,HD 147873 c,Radial Velocity,491.54,2.3
455,HD 148156,b,HD 148156 b,Radial Velocity,1027,0.85
456,HD 148164,b,HD 148164 b,Radial Velocity,328.55,1.23
457,HD 148164,c,HD 148164 c,Radial Velocity,5062,5.16
458,HD 148284,b,HD 148284 b,Radial Velocity,339.331,33.7
459,HD 148427,b,HD 148427 b,Radial Velocity,331.5,1.3
460,HD 149026,b,HD 149026 b,Radial Velocity,2.87589,0.38
461,HD 149143,b,HD 149143 b,Radial Velocity,4.07182,1.33
462,HD 1502,b,HD 1502 b,Radial Velocity,428.5,2.75
463,HD 150706,b,HD 150706 b,Radial Velocity,5894,2.71
464,HD 152079,b,HD 152079 b,Radial Velocity,2918.92,2.661
465,HD 152581,b,HD 152581 b,Radial Velocity,686.5,1.869
466,HD 15337,b,HD 15337 b,Transit,4.75615,0.02363
467,HD 15337,c,HD 15337 c,Transit,17.1784,0.02552
468,HD 153950,b,HD 153950 b,Radial Velocity,499.39999,2.95
469,HD 154345,b,HD 154345 b,Radial Velocity,3341.55884,0.82
470,HD 154672,b,HD 154672 b,Radial Velocity,163.94,5.37
471,HD 154857,b,HD 154857 b,Radial Velocity,408.60001,2.45
472,HD 154857,c,HD 154857 c,Radial Velocity,3452,2.58
473,HD 155233,b,HD 155233 b,Radial Velocity,818.8,2.6
474,HD 155358,b,HD 155358 b,Radial Velocity,194.3,0.99
475,HD 155358,c,HD 155358 c,Radial Velocity,391.9,0.82
476,HD 156279,b,HD 156279 b,Radial Velocity,131.05,9.88
477,HD 156279,c,HD 156279 c,Radial Velocity,4191,8.6
478,HD 156411,b,HD 156411 b,Radial Velocity,842.2,0.74
479,HD 156668,b,HD 156668 b,Radial Velocity,4.6455,0.013
480,HD 156846,b,HD 156846 b,Radial Velocity,359.51001,10.67
481,HD 158038,b,HD 158038 b,Radial Velocity,521,1.53
482,HD 158996,b,HD 158996 b,Radial Velocity,820.2,14
483,HD 159243,b,HD 159243 b,Radial Velocity,12.62,1.13
484,HD 159243,c,HD 159243 c,Radial Velocity,248.4,1.9
485,HD 159868,b,HD 159868 b,Radial Velocity,1184.1,2.218
486,HD 159868,c,HD 159868 c,Radial Velocity,351,0.768
487,HD 1605,b,HD 1605 b,Radial Velocity,577.2,0.934
488,HD 1605,c,HD 1605 c,Radial Velocity,2149,3.62
489,HD 160691,b,HD 160691 b,Radial Velocity,643.25,1.676
490,HD 160691,c,HD 160691 c,Radial Velocity,4205.8,1.814
491,HD 160691,d,HD 160691 d,Radial Velocity,9.6386,0.03321
492,HD 160691,e,HD 160691 e,Radial Velocity,310.55,0.5219
493,HD 16141,b,HD 16141 b,Radial Velocity,75.523,0.26
494,HD 16175,b,HD 16175 b,Radial Velocity,990,5.1
495,HD 162020,b,HD 162020 b,Radial Velocity,8.4282,9.84
496,HD 163607,b,HD 163607 b,Radial Velocity,75.2203,0.7836
497,HD 163607,c,HD 163607 c,Radial Velocity,1272,2.201
498,HD 16417,b,HD 16417 b,Radial Velocity,17.24,0.0696
499,HD 164509,b,HD 164509 b,Radial Velocity,280.17,0.443
500,HD 164595,b,HD 164595 b,Radial Velocity,40,0.05078
501,HD 164604,b,HD 164604 b,Radial Velocity,641.472,1.99792
502,HD 164922,b,HD 164922 b,Radial Velocity,1155,0.31
503,HD 164922,c,HD 164922 c,Radial Velocity,75.765,0.04059
504,HD 165155,b,HD 165155 b,Radial Velocity,434.5,2.89
505,HD 1666,b,HD 1666 b,Radial Velocity,270,6.43
506,HD 166724,b,HD 166724 b,Radial Velocity,5144,3.53
507,HD 167042,b,HD 167042 b,Radial Velocity,420.77,1.7
508,HD 168443,b,HD 168443 b,Radial Velocity,58.11247,7.659
509,HD 168443,c,HD 168443 c,Radial Velocity,1749.83,17.193
510,HD 168746,b,HD 168746 b,Radial Velocity,6.404,0.27
511,HD 1690,b,HD 1690 b,Radial Velocity,533,8.79
512,HD 169830,b,HD 169830 b,Radial Velocity,225.62,2.88
513,HD 169830,c,HD 169830 c,Radial Velocity,2102,4.04
514,HD 170469,b,HD 170469 b,Radial Velocity,1145,0.66
515,HD 17092,b,HD 17092 b,Radial Velocity,359.89999,10.13
516,HD 171028,b,HD 171028 b,Radial Velocity,550,2.62
517,HD 171238,b,HD 171238 b,Radial Velocity,1532,2.72
518,HD 17156,b,HD 17156 b,Radial Velocity,21.21663,3.51
519,HD 173416,b,HD 173416 b,Radial Velocity,323.6,2.7
520,HD 175167,b,HD 175167 b,Radial Velocity,1290,8.97
521,HD 175541,b,HD 175541 b,Radial Velocity,298.43,0.598
522,HD 175607,b,HD 175607 b,Radial Velocity,29.01,0.02825
523,HD 17674,b,HD 17674 b,Radial Velocity,623.8,0.87
524,HD 176986,b,HD 176986 b,Radial Velocity,6.4898,0.01806
525,HD 176986,c,HD 176986 c,Radial Velocity,16.8191,0.02888
526,HD 177565,b,HD 177565 b,Radial Velocity,44.505,0.04751
527,HD 177830,b,HD 177830 b,Radial Velocity,410.10001,1.69
528,HD 177830,c,HD 177830 c,Radial Velocity,110.9,0.15
529,HD 178911 B,b,HD 178911 B b,Radial Velocity,71.484,8.03
530,HD 179079,b,HD 179079 b,Radial Velocity,14.479,0.081
531,HD 179949,b,HD 179949 b,Radial Velocity,3.092514,0.916
532,HD 180053,b,HD 180053 b,Radial Velocity,213.72,2.194
533,HD 18015,b,HD 18015 b,Radial Velocity,2278,3.18
534,HD 180314,b,HD 180314 b,Radial Velocity,396.03,20.13
535,HD 180617,b,HD 180617 b,Radial Velocity,105.9,0.03839
536,HD 180902,b,HD 180902 b,Radial Velocity,510.9,1.685
537,HD 181234,b,HD 181234 b,Radial Velocity,7462.0575,8.37
538,HD 181342,b,HD 181342 b,Radial Velocity,564.1,2.54
539,HD 181433,b,HD 181433 b,Radial Velocity,9.3743,0.02
540,HD 181433,c,HD 181433 c,Radial Velocity,962,0.64
541,HD 181433,d,HD 181433 d,Radial Velocity,2172,0.54
542,HD 181720,b,HD 181720 b,Radial Velocity,956,0.4
543,HD 183263,b,HD 183263 b,Radial Velocity,626.51599,3.95
544,HD 183263,c,HD 183263 c,Radial Velocity,3070,3.57
545,HD 185269,b,HD 185269 b,Radial Velocity,6.83776,1.01
546,HD 187085,b,HD 187085 b,Radial Velocity,1019.74,0.836
547,HD 187123,b,HD 187123 b,Radial Velocity,3.0965828,0.523
548,HD 187123,c,HD 187123 c,Radial Velocity,3810,1.99
549,HD 18742,b,HD 18742 b,Radial Velocity,766,3.4
550,HD 188015,b,HD 188015 b,Radial Velocity,461.2,1.5
551,HD 189733,b,HD 189733 b,Radial Velocity,2.21857567,1.13
552,HD 190360,b,HD 190360 b,Radial Velocity,2915.03687,1.54
553,HD 190360,c,HD 190360 c,Radial Velocity,17.111,0.06
554,HD 190647,b,HD 190647 b,Radial Velocity,1176.45,1.985
555,HD 190984,b,HD 190984 b,Radial Velocity,4885,3.1
556,HD 191806,b,HD 191806 b,Radial Velocity,1606.3,8.52
557,HD 192263,b,HD 192263 b,Radial Velocity,24.3556,0.56
