"filenum","coreid","institutionCode","collectionCode","ownerInstitutionCode","collectionID","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","kingdom","phylum","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","taxonRank","infraspecificEpithet","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","recordNumber","eventDate","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","fieldNumber","informationWithheld","dataGeneralizations","dynamicProperties","associatedTaxa","reproductiveCondition","establishmentMeans","lifeStage","sex","individualCount","preparations","country","stateProvince","county","municipality","locality","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","rights","rightsHolder","accessRights","recordId","references"
14,7453122,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","3b07192d-b549-4790-b745-3b5b2760eb2a","GMUF-0033577","","Plantae","Magnoliophyta","","Asterales","Asteraceae","Packera aurea",93477,"(L.) Á. Löve & D. Löve","Packera","aurea","","","","",NA,"","",NA,NA,"Gary P. Fleming","1461","1986-05-05",1986,5,5,125,NA,"5 May 1986","","Frequent small colonies on wet mossy stream edge in wooded hollow; western slope",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Fauquier","","Western slope of the Rappahannock Mountains. 5.8 miles NNW of Warrenton. Wildcat Mountain Natural Area.",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"en","sstavrou","2017-09-28 14:51:10","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:3b07192d-b549-4790-b745-3b5b2760eb2a","http://www.sernecportal.org/portal/collections/individual/index.php?occid=7453122"
14,7453420,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","18760e61-ada1-4b10-aebc-ecb52c411cac","GMUF-0033582","","Plantae","Magnoliophyta","","Asterales","Asteraceae","Packera obovata",18502,"(Muhl. ex Willd.) W. A. Weber & Á. Löve","Packera","obovata","","","","",NA,"","",NA,NA,"Ted Bradley","9973","1976-04-24",1976,4,24,115,NA,"24 April 1976","","Roadside",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Frederick","","on rte. 600 ca. 3 mi. s. of rte. 612.",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"en","sstavrou","2017-09-28 14:51:10","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:18760e61-ada1-4b10-aebc-ecb52c411cac","http://www.sernecportal.org/portal/collections/individual/index.php?occid=7453420"
14,7453510,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","90c3ac25-6c8f-44ae-baf6-55235f07f678","GMUF-0033605","","Plantae","Magnoliophyta","","Asterales","Asteraceae","Packera tomentosa",44166,"Michx.","Packera","tomentosa","","","","",NA,"","",NA,NA,"Gary P. Fleming, with Nancy Van Alstine and Steve Roble","7789","1993-04-26",1993,4,26,116,NA,"26 April 1993","","Boggy open swale. Common.",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Prince George","","Fort Lee Military Reservation. between Norfolk & Western railroad and Va. 144, 0.3 mi. east of Rte. 725 and 1.1 mile SW of Hopewell.",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"en","sstavrou","2017-09-28 14:51:10","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:90c3ac25-6c8f-44ae-baf6-55235f07f678","http://www.sernecportal.org/portal/collections/individual/index.php?occid=7453510"
14,7453638,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","635c99ea-faec-4225-84f7-92a80777ebd7","GMUF-0033616","","Plantae","Magnoliophyta","","Asterales","Asteraceae","Packera tomentosa x aurea",NA,"","","","","","","",NA,"","",NA,NA,"Gary P. Fleming, Bill Moorhead","10258","1995-05-05",1995,5,5,125,NA,"5 May 1995","","Mesic roadside clearning. One dense colony.",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Isle of Wight","","Clearing on north side of Rt. 603, just east of Carbell Swamp and 0.9 mi. ENE of Indika.",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"en","sstavrou","2017-09-28 14:51:10","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:635c99ea-faec-4225-84f7-92a80777ebd7","http://www.sernecportal.org/portal/collections/individual/index.php?occid=7453638"
14,7453665,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","6c83e63c-1f2a-4c8a-88ad-7a4c141ac17a","GMUF-0033634","54741","Plantae","Magnoliophyta","","Asterales","Asteraceae","Parthenium hispidum",44171,"Raf. in Raf.","Parthenium","hispidum","","","","",NA,"","",NA,NA,"Gary Fleming; T.J. Rawinski, T.F. Wieboldt","6718","1992-06-23",1992,6,23,175,NA,"6/23/92","","Dry, cutover hardwoods on ridgetop knob over basic rocks. Elev. 900 ft. Frequent to common.",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Campbell","","2.4 mi E of jct Rte 696 and US 29 at Castle Craig.",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"en","sstavrou","2018-01-31 21:39:10","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:6c83e63c-1f2a-4c8a-88ad-7a4c141ac17a","http://www.sernecportal.org/portal/collections/individual/index.php?occid=7453665"
14,7453905,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","90cf369b-edaf-4cfc-9a32-92b068ba71cf","GMUF-0033666","54791","Plantae","Magnoliophyta","","Asterales","Asteraceae","Pityopsis adenolepis",117436,"(Fernald) Semple","Pityopsis","adenolepis","","","","",NA,"","",NA,NA,"Gary Fleming; J Ludwig","7306","1992-08-26",1992,8,26,239,NA,"8/26/92","","ca. 1.3 miles SW of Rte. 611 and 3.25 miles NW of Disputanta. Common.",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Lancaster","","Seasonally wet roadside and clearing in pine and oak flatwoods, along north side of Rte. 625",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"en","svo","2018-01-31 21:39:10","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:90cf369b-edaf-4cfc-9a32-92b068ba71cf","http://www.sernecportal.org/portal/collections/individual/index.php?occid=7453905"
14,7453943,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","28d40746-f516-4a01-aa14-52df54766872","GMUF-0033654","54803","Plantae","Magnoliophyta","","Asterales","Asteraceae","Pityopsis adenolepis",117436,"(Fernald) Semple","Pityopsis","adenolepis","","","","",NA,"","",NA,NA,"Gary Fleming","12583","1996-09-26",1996,9,26,270,NA,"9/26/96","","Small colony.",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","New Kent","","Dry, sterile, wooded roadside along Rt. 632, ca. 0.4 mi. west of Balls Pond and 3.5 miles NW of Barhamsville.",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"en","svo","2018-01-31 21:39:10","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:28d40746-f516-4a01-aa14-52df54766872","http://www.sernecportal.org/portal/collections/individual/index.php?occid=7453943"
14,7454045,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","7dcd567b-ec74-415e-b5ea-aac6491c6a08","GMUF-0033637","54798","Plantae","Magnoliophyta","","Asterales","Asteraceae","Pityopsis adenolepis",117436,"(Fernald) Semple","Pityopsis","adenolepis","","","","",NA,"","",NA,NA,"Ted Bradley; I. Miller","12393","1977-06-04",1977,6,4,155,NA,"6/4/77","","",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Caroline","","Pond and roadside ca. 0.4 mi. n. of rte. 708 on rte. 665 se. of Passing",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"en","svo","2018-01-31 21:39:10","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:7dcd567b-ec74-415e-b5ea-aac6491c6a08","http://www.sernecportal.org/portal/collections/individual/index.php?occid=7454045"
14,7454371,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","3722c9a3-ea4e-4ebb-a99d-f45fc23873c3","GMUF-0033684","54857","Plantae","Magnoliophyta","","Asterales","Asteraceae","Pluchea camphorata",343,"(L.) DC.","Pluchea","camphorata","","","","",NA,"","",NA,NA,"Gary Fleming; Christopher Ludwig, Rick Willis","11243","1995-09-08",1995,9,8,251,NA,"9/8/95","","Exsiccated seasonal pond in powerline clearing through cutover woods of Tuckers Pocosin.",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Surry","","0.7 mi. NW of the jct. of Rt. 627 and Surry/Isle of Wight Co. line, 2.7 miles SSW of Poolesville.",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"en","sstavrou","2018-01-31 21:39:10","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:3722c9a3-ea4e-4ebb-a99d-f45fc23873c3","http://www.sernecportal.org/portal/collections/individual/index.php?occid=7454371"
14,7454397,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","9753eb2a-1ab7-44ec-81f5-1e69e77ad003","GMUF-0033713","54875","Plantae","Magnoliophyta","","Asterales","Asteraceae","Pluchea carolinensis",28122,"G.Don","Pluchea","carolinensis","","","","",NA,"","",NA,NA,"Ted Bradley; Vasquez","8884","1975-08-02",1975,8,2,214,NA,"8/2/75","","Beach, marsh and woodland.",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Northumberland","","Off Bayview Drive (rte 657) in Fleeton on Ingram Way",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"en","sstavrou","2018-01-31 21:39:10","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:9753eb2a-1ab7-44ec-81f5-1e69e77ad003","http://www.sernecportal.org/portal/collections/individual/index.php?occid=7454397"
14,7454421,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","a0ae9f2b-a640-46ef-89ad-d9c952812c9a","GMUF-0033700","54878","Plantae","Magnoliophyta","","Asterales","Asteraceae","Pluchea carolinensis",28122,"G.Don","Pluchea","carolinensis","","","","",NA,"","",NA,NA,"Ted Bradley; Reeves","14105","1977-10-02",1977,10,2,275,NA,"10/2/77","","",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Essex","","US 17 and Hoskins Creek at Tappahannock.",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"en","sstavrou","2018-01-31 21:39:10","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:a0ae9f2b-a640-46ef-89ad-d9c952812c9a","http://www.sernecportal.org/portal/collections/individual/index.php?occid=7454421"
14,7454445,"GMUF","Plants",NA,"2e430955-77d0-4aa4-a16f-e2d3c5ff4493","PreservedSpecimen","0fc4e555-7d18-49a4-abab-e3374b7b541d","GMUF-0033747","54916","Plantae","Magnoliophyta","","Asterales","Asteraceae","Polymnia canadensis",44230,"L.","Polymnia","canadensis","","","","",NA,"","",NA,NA,"Ted Bradley; Vazquez","8489","1975-07-27",1975,7,27,208,NA,"7/27/75","","Roadside.",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,"United States","Virginia","Clarke","","Ca. 1.5 mi. n. of Warren Co. on rte 638.",NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"en","sstavrou","2018-01-31 21:39:10","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:0fc4e555-7d18-49a4-abab-e3374b7b541d","http://www.sernecportal.org/portal/collections/individual/index.php?occid=7454445"
