"id","coreid","identifier","accessURI","thumbnailAccessURI","goodQualityAccessURI","rights","Owner","UsageTerms","WebStatement","caption","comments","providerManagedID","MetadataDate","format","associatedSpecimenReference","type","subtype","metadataLanguage"
15,7863033,"https://bisque.cyverse.org/image_service/image/00-L4UHey3zPoazNpYxoEtGmS/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-L4UHey3zPoazNpYxoEtGmS/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-L4UHey3zPoazNpYxoEtGmS/thumbnail:200,200","https://bisque.cyverse.org/image_service/image/00-L4UHey3zPoazNpYxoEtGmS/resize:1250/format:jpeg",NA,"George Mason University, Ted R. Bradley Herbarium (GMUF-Plants)","CC BY-NC (Attribution-Non-Commercial)","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:cf7094ed-7bd3-4cc5-a92c-b220d300849a","2019-01-09 11:29:19","image/jpeg","http://www.sernecportal.org/portal/collections/individual/index.php?occid=7863033","StillImage","Photograph","en"
15,8062145,"https://bisque.cyverse.org/image_service/image/00-SQRwokm4c2FeLF2Pz7fgDD/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-SQRwokm4c2FeLF2Pz7fgDD/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-SQRwokm4c2FeLF2Pz7fgDD/thumbnail:200,200","https://bisque.cyverse.org/image_service/image/00-SQRwokm4c2FeLF2Pz7fgDD/resize:1250/format:jpeg",NA,"George Mason University, Ted R. Bradley Herbarium (GMUF-Plants)","CC BY-NC (Attribution-Non-Commercial)","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:4fce4ae1-ee13-4bc5-98b7-a1230ee37479","2019-01-09 11:30:00","image/jpeg","http://www.sernecportal.org/portal/collections/individual/index.php?occid=8062145","StillImage","Photograph","en"
15,7414233,"https://bisque.cyverse.org/image_service/image/00-YzugHKMQg8dnt5vLj9Urbn/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-YzugHKMQg8dnt5vLj9Urbn/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-YzugHKMQg8dnt5vLj9Urbn/thumbnail:200,200","https://bisque.cyverse.org/image_service/image/00-YzugHKMQg8dnt5vLj9Urbn/resize:1250/format:jpeg",NA,"George Mason University, Ted R. Bradley Herbarium (GMUF-Plants)","CC BY-NC (Attribution-Non-Commercial)","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:605fe0c0-407d-4a62-bc14-1297707523e2","2019-01-09 11:28:38","image/jpeg","http://www.sernecportal.org/portal/collections/individual/index.php?occid=7414233","StillImage","Photograph","en"
15,6829813,"https://bisque.cyverse.org/image_service/image/00-sZvFhfwk8TzVygABNNsZLZ/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-sZvFhfwk8TzVygABNNsZLZ/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-sZvFhfwk8TzVygABNNsZLZ/thumbnail:200,200","https://bisque.cyverse.org/image_service/image/00-sZvFhfwk8TzVygABNNsZLZ/resize:1250/format:jpeg",NA,"George Mason University, Ted R. Bradley Herbarium (GMUF-Plants)","CC BY-NC (Attribution-Non-Commercial)","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:ba753b14-b85c-4600-b48a-ff03eaa07c88","2019-01-09 11:27:44","image/jpeg","http://www.sernecportal.org/portal/collections/individual/index.php?occid=6829813","StillImage","Photograph","en"
15,7116042,"https://bisque.cyverse.org/image_service/image/00-SHYtqx97Gchm4X42LS6sLa/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-SHYtqx97Gchm4X42LS6sLa/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-SHYtqx97Gchm4X42LS6sLa/thumbnail:200,200","https://bisque.cyverse.org/image_service/image/00-SHYtqx97Gchm4X42LS6sLa/resize:1250/format:jpeg",NA,"George Mason University, Ted R. Bradley Herbarium (GMUF-Plants)","CC BY-NC (Attribution-Non-Commercial)","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:01e50261-7ecf-4c3d-bed7-4fa931069e52","2019-01-09 11:27:53","image/jpeg","http://www.sernecportal.org/portal/collections/individual/index.php?occid=7116042","StillImage","Photograph","en"
15,7977469,"https://bisque.cyverse.org/image_service/image/00-48QtA3XcSAK4ZMbLsyPiCm/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-48QtA3XcSAK4ZMbLsyPiCm/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-48QtA3XcSAK4ZMbLsyPiCm/thumbnail:200,200","https://bisque.cyverse.org/image_service/image/00-48QtA3XcSAK4ZMbLsyPiCm/resize:1250/format:jpeg",NA,"George Mason University, Ted R. Bradley Herbarium (GMUF-Plants)","CC BY-NC (Attribution-Non-Commercial)","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:8a596507-1690-4149-b1b3-26ae037edd06","2019-01-09 11:29:39","image/jpeg","http://www.sernecportal.org/portal/collections/individual/index.php?occid=7977469","StillImage","Photograph","en"
15,6827828,"https://bisque.cyverse.org/image_service/image/00-kEaBPqewUXfAv8nF8a8YKJ/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-kEaBPqewUXfAv8nF8a8YKJ/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-kEaBPqewUXfAv8nF8a8YKJ/thumbnail:200,200","https://bisque.cyverse.org/image_service/image/00-kEaBPqewUXfAv8nF8a8YKJ/resize:1250/format:jpeg",NA,"George Mason University, Ted R. Bradley Herbarium (GMUF-Plants)","CC BY-NC (Attribution-Non-Commercial)","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:99e2cbfb-8a35-470c-bb45-1943cd0d0fec","2019-01-09 11:27:43","image/jpeg","http://www.sernecportal.org/portal/collections/individual/index.php?occid=6827828","StillImage","Photograph","en"
15,7466336,"https://bisque.cyverse.org/image_service/image/00-pmMKxu3wpyH3XiuZ4gEEST/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-pmMKxu3wpyH3XiuZ4gEEST/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-pmMKxu3wpyH3XiuZ4gEEST/thumbnail:200,200","https://bisque.cyverse.org/image_service/image/00-pmMKxu3wpyH3XiuZ4gEEST/resize:1250/format:jpeg",NA,"George Mason University, Ted R. Bradley Herbarium (GMUF-Plants)","CC BY-NC (Attribution-Non-Commercial)","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:854653bb-789f-4d59-8fa1-5b316292de4f","2019-01-09 11:29:01","image/jpeg","http://www.sernecportal.org/portal/collections/individual/index.php?occid=7466336","StillImage","Photograph","en"
15,7410778,"https://bisque.cyverse.org/image_service/image/00-kTMU38ePgusd53yWCTcYWZ/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-kTMU38ePgusd53yWCTcYWZ/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-kTMU38ePgusd53yWCTcYWZ/thumbnail:200,200","https://bisque.cyverse.org/image_service/image/00-kTMU38ePgusd53yWCTcYWZ/resize:1250/format:jpeg",NA,"George Mason University, Ted R. Bradley Herbarium (GMUF-Plants)","CC BY-NC (Attribution-Non-Commercial)","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:8cb796f8-10f6-40b2-bb72-b62d51ef4f6a","2019-01-09 11:28:37","image/jpeg","http://www.sernecportal.org/portal/collections/individual/index.php?occid=7410778","StillImage","Photograph","en"
15,7949904,"https://bisque.cyverse.org/image_service/image/00-uoZNFacWR7ZsUNXbafh67g/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-uoZNFacWR7ZsUNXbafh67g/resize:4000/format:jpeg","https://bisque.cyverse.org/image_service/image/00-uoZNFacWR7ZsUNXbafh67g/thumbnail:200,200","https://bisque.cyverse.org/image_service/image/00-uoZNFacWR7ZsUNXbafh67g/resize:1250/format:jpeg",NA,"George Mason University, Ted R. Bradley Herbarium (GMUF-Plants)","CC BY-NC (Attribution-Non-Commercial)","http://creativecommons.org/licenses/by-nc/3.0/",NA,NA,"urn:uuid:ba7b1986-77d8-4125-a5ae-64c81bff0ef6","2019-01-09 11:29:50","image/jpeg","http://www.sernecportal.org/portal/collections/individual/index.php?occid=7949904","StillImage","Photograph","en"
